broken_name,occurrences,sample_sources
配平,15,04-题库/教材习题/上海中学竞赛课程/题-025-上海中学-氮族元素-习题5.md; 04-题库/教材习题/化学竞赛初赛讲义/题-001-初赛讲义-反应方程式-习题1.2.md; 04-题库/教材习题/化学竞赛初赛讲义/题-002-初赛讲义-反应方程式-习题1.22.md
mineru/...,14,00-首页/工作日志/2026-05-10.md; 00-首页/工作日志/2026-05-18.md; 00-首页/规则-配图来源优先级.md
KP,13,11-模板/模板-专题.md; 11-模板/模板-复盘记录.md; 11-模板/模板-课件大纲.md
氨,12,04-题库/教材习题/上海中学竞赛课程/题-021-上海中学-氮族元素-习题1.md; 04-题库/教材习题/上海中学竞赛课程/题-022-上海中学-氮族元素-习题2.md; 04-题库/教材习题/上海中学竞赛课程/题-023-上海中学-氮族元素-习题3.md
异构体,12,04-题库/真题/第32届决赛/理论/题-032决-1-Ir化合物异构体.md; 04-题库/真题/第37届初赛/题-037-5-2-2-HSNO异构体.md; 04-题库/真题/第39届决赛/理论/题-39决理-7-四氮唑类化合物及其反应性.md
教学逻辑提炼-XX,12,11-模板/Agent提示词-知识库使用.md; 11-模板/模板-备课大纲.md; 11-模板/模板-教学洞察.md
题-XXX,12,11-模板/模板-专题.md; 11-模板/模板-专题练习卷.md; 11-模板/模板-决赛理论题.md
X,11,00-首页/工作日志/2026-05-14.md; 11-模板/模板-健康检查报告.md
三相点,11,04-题库/化学原理/Ch03-相变液态/03-14.md; 04-题库/化学原理/Ch03-相变液态/03-15.md; 04-题库/化学原理/Ch03-相变液态/03-16.md
熔点,11,04-题库/化学原理/Ch13-晶体与晶体结构/13-18.md; 04-题库/化学原理/Ch13-晶体与晶体结构/13-19.md; 04-题库/化学原理/Ch13-晶体与晶体结构/13-22.md
硫酸,11,04-题库/教材习题/上海中学竞赛课程/题-008-上海中学-氧族元素-习题1.md; 04-题库/教材习题/上海中学竞赛课程/题-009-上海中学-氧族元素-习题3.md; 04-题库/教材习题/上海中学竞赛课程/题-010-上海中学-氧族元素-习题4.md
KP-1,11,11-模板/Agent提示词-知识库使用.md; 11-模板/模板-专题.md; 11-模板/模板-专题练习卷.md
丙二酸二酯合成法,10,00-首页/工作日志/2026-06-04.md; 04-课件/新授课/2026-06-04-羰基化学与缩合反应-提高班.md; 04-课件/新授课/2026-06-15-有机合成与金属有机讲评顺序页-提高班.md
上海中学竞赛课程-化学-第1分册,10,04-课件/学生讲义/2026-06-23-元素周期表与周期律.md; 04-课件/学生讲义/2026-06-23-共价键理论.md; 04-课件/学生讲义/2026-06-23-其他类型晶体.md
教学逻辑提炼-XXX,9,00-首页/Agent提示词-教学洞察自动生成.md; 11-模板/模板-知识点.md
wikilink,9,00-首页/工作日志/2026-05-05.md; 00-首页/工作日志/2026-06-22.md; 00-首页/工作日志/2026-06-23.md
分子构型,9,04-题库/化学原理/Ch12-化学键与分子结构/12-25.md; 04-题库/化学原理/Ch12-化学键与分子结构/12-27.md; 04-题库/化学原理/Ch12-化学键与分子结构/12-28.md
卤化物,9,04-题库/教材习题/上海中学竞赛课程/题-001-上海中学-卤族元素-习题1.md; 04-题库/教材习题/上海中学竞赛课程/题-002-上海中学-卤族元素-习题2.md; 04-题库/教材习题/上海中学竞赛课程/题-003-上海中学-卤族元素-习题3.md
电极电位,9,04-题库/教材习题/上海中学竞赛课程/题-004-上海中学-卤族元素-习题4.md; 04-题库/教材习题/上海中学竞赛课程/题-007-上海中学-卤族元素-习题7.md; 04-题库/教材习题/上海中学竞赛课程/题-011-上海中学-氧族元素-习题5.md
逻辑推理,9,04-题库/教材习题/化学竞赛初赛讲义/题-019-初赛讲义-推断技术-习题6.19.md; 04-题库/教材习题/化学竞赛初赛讲义/题-021-初赛讲义-推断技术-习题6.21.md; 04-题库/教材习题/化学竞赛初赛讲义/题-022-初赛讲义-推断技术-习题6.23.md
有机化合物,9,07-资料提炼/书籍提炼/提炼-上海中学竞赛课程-第四分册-二烯烃与炔烃.md; 07-资料提炼/书籍提炼/提炼-上海中学竞赛课程-第四分册-卤代烃与有机金属化合物.md; 07-资料提炼/书籍提炼/提炼-上海中学竞赛课程-第四分册-有机化合物的命名.md
专题-主族元素化学,9,07-资料提炼/教学逻辑提炼/Zchem 中级无机结构化学/教学逻辑提炼-Zchem-主族元素的结构化学II-第二轮深化.md; 07-资料提炼/教学逻辑提炼/质心 元素化学和结构化学 下/教学逻辑提炼-质心-p区金属串讲-第一轮.md; 07-资料提炼/教学逻辑提炼/质心 元素化学和结构化学 下/教学逻辑提炼-质心-氮族元素与铜副族-第一轮.md
硫及其化合物,9,07-资料提炼/教学逻辑提炼/质心 元素化学和结构化学 上/教学逻辑提炼-质心-氧族元素-第一轮.md; 07-资料提炼/教学逻辑提炼/质心 元素化学和结构化学 上/教学逻辑提炼-质心-氧族元素深化-第一轮.md; 07-资料提炼/教学逻辑提炼/质心 元素化学和结构化学 上/教学逻辑提炼-质心-硫与氮-第一轮.md
Note Name,9,skills/obsidian-markdown/SKILL.md; skills/obsidian-markdown/references/EMBEDS.md
酸性,8,04-题库/化学原理/Ch08-酸碱平衡/08-27.md; 04-题库/化学原理/Ch08-酸碱平衡/08-28.md; 04-题库/真题/第34届决赛/理论/题-34决理-2-1-2-硅酸盐结构与酸性.md
亚硝酸,8,07-资料提炼/教学逻辑提炼/质心 元素化学和结构化学 上/教学逻辑提炼-质心-非金属元素小结-第一轮.md; 12-教学洞察/教学洞察-氧族与氮族元素.md
水的电离,8,07-资料提炼/教学逻辑提炼/质心 化学原理 下/教学逻辑提炼-质心-酸碱理论-第一轮.md; 07-资料提炼/网课资料/质心 化学原理 下/资料提炼-质心-酸碱理论与沉淀溶解平衡.md
<KP>,8,11-模板/模板-健康检查报告.md
轨道对称性,7,00-首页/图片索引.md; 00-首页/工作日志/2026-05-22.md; 00-首页/工作日志/2026-06-15.md
燃烧热,7,00-首页/图片索引.md; 04-题库/化学原理/Ch05-化学热力学/05-28.md; 04-题库/有机化学/有机结构基础与电子效应/题-有机-结构-共轭稳定化能计算.md
原子结构-超级充实版（课堂填空）,7,00-首页/审计报告-教学逻辑链路一致性审计-2026-06-30.md; 00-首页/工作日志/2026-06-30.md; 04-课件/学生讲义/原子结构-前置知识速查.md
专题-综合复习,7,00-首页/工作日志/2026-05-30.md; 07-资料提炼/教学逻辑提炼/质心 化学原理 上/教学逻辑提炼-质心-综合复习-第一轮.md
专题-期中复习,7,00-首页/工作日志/2026-05-30.md; 07-资料提炼/教学逻辑提炼/质心 化学原理 下/教学逻辑提炼-质心-期中复习-第一轮.md
13,7,04-专题与题型/专题/专题-情境化元素推断综合训练.md; 04-专题与题型/专题/专题-氢与卤素.md; 04-专题与题型/专题/专题-氧族与氮族元素.md
氮氧化物,7,04-专题与题型/题型/题型-氮族化合物推断.md; 04-题库/真题/第30届初赛/无机和结构化学/题-030-2-3-棕色物质中NO键长变化.md; 07-资料提炼/教学逻辑提炼/质心 元素化学和结构化学 上/教学逻辑提炼-质心-硫与氮-第一轮.md
电子亲和能,7,04-课件/学生讲义/第一轮结构化学习题集（精选重组）.md; 04-题库/教材习题/无机化学例题与习题/Ch05-原子结构和元素周期律/习题/5.1-5.10-选择题.md; 04-题库/教材习题/无机化学例题与习题/Ch05-原子结构和元素周期律/习题/5.11-5.20-选择题.md
有机结构基础与电子效应,7,04-课件/新授课/2026-06-04-亲核取代与消除反应-提高班.md; 04-课件/新授课/2026-06-05-周环反应-提高班.md; 04-课件/新授课/2026-06-05-自由基反应-提高班.md
摩尔蒸发热,7,04-题库/化学原理/Ch03-相变液态/03-02.md; 04-题库/化学原理/Ch03-相变液态/03-03.md; 04-题库/化学原理/Ch03-相变液态/03-04.md
过氧化物,7,04-题库/教材习题/无机化学例题与习题/Ch12-碱金属和碱土金属/例题/例12.1-完成配平化学反应方程式.md; 04-题库/真题/第30届决赛/理论/题-030决-2-氮氧化合物推断.md; 04-题库/真题/第30届初赛/无机和结构化学/题-030-3-3-1-FeO4中铁价电子组态.md
多步合成,7,04-题库/有机化学/有机合成与金属有机/题-有机-合成-连续多步合成路线综合.md; 04-题库/真题/第28届决赛/理论/题-028决-9-山梨醇生物质转化.md; 04-题库/真题/第30届决赛/理论/题-030决-8-串联反应合成.md
捕获反应,7,04-题库/真题/第34届决赛/理论/题-34决理-1-8-1-LiTMP反应与环加成.md; 04-题库/真题/第34届决赛/理论/题-34决理-1-8-2-Diels-Alder反应.md; 04-题库/真题/第34届决赛/理论/题-34决理-1-8-3-三组分反应.md
羧酸及羧酸衍生物,7,07-资料提炼/书籍提炼/提炼-ABOC-第2章-基本反应.md; 07-资料提炼/教学逻辑提炼/学而思 有机化学基础/教学逻辑提炼-学而思有机化学基础-批次E-酰基取代与活泼亚甲基工具箱.md; 07-资料提炼/网课资料/学而思 有机化学基础/资料提炼-学而思有机化学基础-批次E-羧酸羧衍缩合前置与含氮延伸.md
组分数,7,07-资料提炼/教学逻辑提炼/Zchem 物理化学 下/教学逻辑提炼-Zchem-相平衡与胶体-第三轮.md
KP-2,7,11-模板/Agent提示词-知识库使用.md; 11-模板/模板-专题.md; 11-模板/模板-专题练习卷.md
文件名,6,00-首页/工作日志/2026-05-10.md; 00-首页/工作日志/2026-05-12.md; 00-首页/工作日志/2026-05-18.md
联烯化学,6,00-首页/工作日志/2026-05-22.md; 04-题库/教材习题/ABOC/题-038-ABOC-FT0-Jack-Mutilin全合成.md; 07-资料提炼/书籍提炼/提炼-ABOC-PhaseD-习题拆题清单.md
真实气体,6,00-首页/工作日志/2026-06-01.md; 07-资料提炼/教学逻辑提炼/无机化学-周坤-2020/周坤无机新课-知识库自用授课顺序总表.md; 07-资料提炼/教学逻辑提炼/无机化学-周坤-2020/教学逻辑提炼-周坤无机新课-晶体配合物与气体-第一轮.md
热力学初步,6,04-课件/备课大纲/2026-06-02-化学动力学初步-基础班.md; 04-课件/备课大纲/2026-06-02-化学平衡-基础班.md; 04-课件/备课大纲/2026-06-02-热力学初步-基础班.md
玻尔模型,6,04-课件/学生讲义/第一轮结构化学习题集（精选重组）.md; 06-学生侧材料/第一轮结构化学习题集（精选重组）.md
叠氮酸,6,04-题库/教材习题/上海中学竞赛课程/题-017-上海中学-氮族元素-习题4.md; 07-资料提炼/教学逻辑提炼/质心 元素化学和结构化学 上/教学逻辑提炼-质心-非金属元素小结-第一轮.md; 12-教学洞察/教学洞察-氧族与氮族元素.md
萃取平衡,6,04-题库/教材习题/上海中学竞赛课程/题-058-上海中学-水中平衡-习题1.md; 04-题库/教材习题/化学竞赛初赛讲义/题-072-初赛讲义-溶液与化学分析-习题9.45.md; 04-题库/教材习题/化学竞赛初赛讲义/题-073-初赛讲义-溶液与化学分析-习题9.46.md
半导体,6,04-题库/教材习题/化学竞赛初赛讲义/题-035-初赛讲义-晶体结构-习题7.32.md; 04-题库/教材习题/化学竞赛初赛讲义/题-036-初赛讲义-晶体结构-习题7.33.md; 04-题库/教材习题/化学竞赛初赛讲义/题-069-初赛讲义-晶体结构-习题7.66.md
酸效应,6,04-题库/教材习题/无机化学例题与习题/Ch09-沉淀溶解平衡/习题/9.1-9.10-选择题.md; 04-题库/教材习题/无机化学例题与习题/Ch09-沉淀溶解平衡/习题/9.21-9.30-计算题.md; 04-题库/教材习题/无机化学例题与习题/Ch09-沉淀溶解平衡/例题/例9.2-酸度对溶解度的影响.md
质量分数,6,04-题库/教材习题/无机化学例题与习题/Ch11-配位化学基础/例题/例11.10-配合物化学式推导.md; 04-题库/真题/第26届初赛/化学原理/题-026-1-2-配合物热重分析.md; 04-题库/真题/第29届初赛/无机和结构化学/题-029-3-2-拜耳法铝损失率.md
矿物化学式,6,04-题库/教材习题/无机化学例题与习题/Ch12-碱金属和碱土金属/习题/12.9-12.18-填空题.md; 04-题库/教材习题/无机化学例题与习题/Ch13-硼族元素/习题/Ch13-填空题.md; 04-题库/教材习题/无机化学例题与习题/Ch14-碳族元素/习题/Ch14-填空题.md
化学等价,6,04-题库/有机化学/波谱分析/题-有机-波谱-NMR-ReplacementTest信号数判断.md; 04-题库/有机化学/波谱分析/题-有机-波谱-NMR-二乙基醚类信号数判断.md; 04-题库/有机化学/波谱分析/题-有机-波谱-NMR-二甲苯异构体信号数.md
超电势,6,04-题库/真题/第28届决赛/理论/题-028决-7-电解与Pd催化.md; 07-资料提炼/教学逻辑提炼/Zchem 物理化学 下/教学逻辑提炼-Zchem-电化学-第一轮.md
熔沸点,6,04-题库/真题/第30届初赛/无机和结构化学/题-030-1-2-碱金属性质递变非单调性.md; 07-资料提炼/教学逻辑提炼/质心 化学原理 上/教学逻辑提炼-质心-综合复习-第一轮.md
硝酸,6,04-题库/真题/第34届决赛/理论/题-34决理-2-1-1-硅化学与腐蚀.md; 07-资料提炼/教学逻辑提炼/质心 元素化学和结构化学 上/教学逻辑提炼-质心-硫与氮-第一轮.md; 12-教学洞察/教学洞察-氧族与氮族元素.md
专题-卤素,6,07-资料提炼/书籍提炼/提炼-上海中学竞赛课程-第三分册-卤族元素.md; 07-资料提炼/教学逻辑提炼/Zchem 元素化学与结构化学/教学逻辑提炼-Zchem-卤素-第一轮.md; 07-资料提炼/教学逻辑提炼/质心 元素化学和结构化学 上/教学逻辑提炼-质心-氧族元素-第一轮.md
专题-分子结构,6,07-资料提炼/教学逻辑提炼/Zchem 元素化学与结构化学/教学逻辑提炼-Zchem-卤素-第一轮.md; 07-资料提炼/教学逻辑提炼/无机化学-周坤-2020/周坤无机新课-知识库自用授课顺序总表.md; 07-资料提炼/教学逻辑提炼/无机化学-周坤-2020/教学逻辑提炼-周坤无机新课-原子结构与分子结构-第一轮.md
专题-氧族元素,6,07-资料提炼/教学逻辑提炼/质心 元素化学和结构化学 上/教学逻辑提炼-质心-氧族元素-第一轮.md; 07-资料提炼/教学逻辑提炼/质心 元素化学和结构化学 上/教学逻辑提炼-质心-氧族元素深化-第一轮.md; 12-教学洞察/教学洞察-氢与卤素.md
联氨,6,07-资料提炼/教学逻辑提炼/质心 元素化学和结构化学 上/教学逻辑提炼-质心-非金属元素小结-第一轮.md; 12-教学洞察/教学洞察-氧族与氮族元素.md
KP-XX,6,11-模板/Agent-10-备课-轻量.md; 11-模板/Agent提示词-知识库使用.md; 11-模板/模板-备课大纲.md
source,6,11-模板/Agent提示词-知识库维护.md; 11-模板/模板-合并迁移计划.md; 11-模板/模板-差异对照表.md
教学逻辑提炼-质心-钪钛钒(Sc Ti V)-第一轮,6,12-教学洞察/教学洞察-钛钒铬锰.md; 12-教学洞察/教学洞察-银金汞钼钨.md
超分子化学,5,"00-首页/图片索引.md; 07-资料提炼/书籍提炼/提炼-Steed-Atwood-超分子化学基础(Ch1,3,5).md; 07-资料提炼/书籍提炼/提炼-Steed-Atwood-超分子化学第7章-模板和自组装.md"
稀溶液的通性,5,00-首页/工作日志/2026-05-15.md; 07-资料提炼/书籍提炼/提炼-Atkins物理化学-主题05-简单混合物.md
极性反转,5,00-首页/工作日志/2026-05-22.md; 04-专题与题型/题型/题型-极性翻转判断.md; 04-题库/真题/第34届初赛/有机化学/题-034-10-1-有机转换中间体推断.md
外消旋化,5,00-首页/工作日志/2026-05-22.md; 04-题库/真题/第36届决赛/理论/第二场/题-36决理-2-10-Wharton碎片化反应.md; 04-题库/真题/第37届决赛/理论/第二场/题-37决理-2-9-重排反应.md
知识点名,5,00-首页/工作日志/2026-05-24.md; 11-模板/Agent提示词-知识库构建.md; 11-模板/模板-资料提炼.md
配体,5,00-首页/工作日志/2026-06-01.md; 03-知识点/决赛要求/结构与配位深化/配体类型与电子给受性质.md; 07-资料提炼/教学逻辑提炼/无机化学-周坤-2020/教学逻辑提炼-周坤无机新课-晶体配合物与气体-第一轮.md
配位化合物基础,5,00-首页/工作日志/2026-06-24.md; mineru/03-教材书籍/无机化学第6版Weller/index.md; 备课思路/教学过程总表-结构化学模块.md
04-课件/学生讲义/原子结构-超级充实版（课堂填空）,5,00-首页/活跃任务/任务卡-PPT制作方法探究与试点.md; 00-首页/活跃任务/任务卡-习题配套建设.md; 00-首页/活跃任务/任务卡-备课体系深度优化与审计.md
提炼-分析化学第六版-第8章-酸碱滴定法,5,03-知识点/分析化学/指示剂.md; 03-知识点/分析化学/滴定曲线.md; 03-知识点/分析化学/酸碱滴定.md
临界现象,5,04-题库/化学原理/Ch03-相变液态/03-01.md; 04-题库/化学原理/Ch03-相变液态/03-16.md; 04-题库/化学原理/知识点索引.md
化学平衡常数,5,04-题库/化学原理/Ch06-化学平衡/06-30.md; 04-题库/化学原理/Ch06-化学平衡/06-31.md; 04-题库/教材习题/上海中学竞赛课程/题-055-上海中学-化学平衡-习题1.md
离子分离,5,04-题库/化学原理/Ch09-沉淀溶解平衡/09-26.md; 04-题库/教材习题/无机化学例题与习题/Ch15-氮族元素/习题/分离鉴别制备15.55-15.61.md; 04-题库/教材习题/无机化学例题与习题/Ch16-氧族元素/习题/分离鉴别制备16.51-16.57.md
06-外部资料导入/...,5,04-题库/教学改编题/无机和结构化学/错误模式知识库.md; 98-索引/exercise-build-workflow.md; 98-索引/handout-image-standards.md
共轭二烯,5,04-题库/教材习题/ABOC/题-076-ABOC-Ch7-7.2.1-1-D-A底物推断（六苯基苯）.md; 04-题库/有机化学/加成反应/题-有机-加成-共轭二烯12与14加成.md; 04-题库/有机化学/加成反应/题-有机-加成-共轭二烯12与14加成选择性.md
电动势,5,04-题库/教材习题/化学竞赛初赛讲义/题-045-初赛讲义-热力学和动力学初步-习题8.47.md; 04-题库/教材习题/无机化学例题与习题/Ch10-氧化还原反应/习题/10.1-10.12-选择题.md; 04-题库/教材习题/无机化学例题与习题/Ch10-氧化还原反应/例题/例10.10-电势-pH图.md
Henry定律,5,04-题库/教材习题/化学竞赛初赛讲义/题-065-初赛讲义-溶液与化学分析-习题9.24.md; 04-题库/教材习题/化学竞赛初赛讲义/题-066-初赛讲义-溶液与化学分析-习题9.27.md; 备课思路/教学过程总表-化学原理收尾模块.md
姜泰勒效应,5,04-题库/教材习题/无机化学例题与习题/Ch11-配位化学基础/例题/例11.7-姜泰勒效应.md; 07-资料提炼/教学逻辑提炼/质心 元素化学和结构化学 上/教学逻辑提炼-质心-配位化学-第一轮.md
物质鉴别,5,04-题库/教材习题/无机化学例题与习题/Ch12-碱金属和碱土金属/习题/12.30-12.34-分离鉴别与制备.md; 04-题库/教材习题/无机化学例题与习题/Ch12-碱金属和碱土金属/例题/例12.3-鉴别各组物质.md; 04-题库/教材习题/无机化学例题与习题/Ch15-氮族元素/习题/分离鉴别制备15.55-15.61.md
对称性分析,5,04-题库/有机化学/波谱分析/题-有机-波谱-NMR-ReplacementTest信号数判断.md; 04-题库/真题/第26届决赛/理论/题-026决-1-8-Bi6多核离子结构.md; 04-题库/真题/第38届初赛/题-038-5-2-1-SrSb晶胞坐标.md
催化机理,5,04-题库/真题/第26届决赛/理论/题-026决-3-铁卟啉催化动力学.md; 04-题库/真题/第33届决赛/理论/题-33决理-2-催化动力学光度法测定锰.md; 04-题库/真题/第34届决赛/理论/题-34决理-1-6-2-催化机理研究.md
选择性控制,5,07-资料提炼/书籍提炼/提炼-ABOC-PhaseD-习题拆题清单.md; 07-资料提炼/书籍提炼/提炼-ABOC-第11章-解题训练.md
等瓣类似,5,07-资料提炼/书籍提炼/提炼-化学竞赛初赛讲义-第5讲-金属有机化学.md; 备课思路/第三轮总体备课框架.md
类卤素,5,07-资料提炼/教学逻辑提炼/Zchem 元素化学与结构化学/教学逻辑提炼-Zchem-卤素-第一轮.md
金属有机试剂,5,07-资料提炼/教学逻辑提炼/Zchem 有机反应合成与机理/教学逻辑提炼-Zchem-羰基化学深化-第三轮.md
自由度,5,07-资料提炼/教学逻辑提炼/Zchem 物理化学 下/教学逻辑提炼-Zchem-相平衡与胶体-第三轮.md
拟卤素,5,07-资料提炼/教学逻辑提炼/质心 元素化学和结构化学 上/教学逻辑提炼-质心-氧族元素-第一轮.md; 07-资料提炼/教学逻辑提炼/质心 元素化学和结构化学 上/教学逻辑提炼-质心-硫与氮-第一轮.md; 12-教学洞察/教学洞察-氢与卤素.md
专题-氮及其化合物,5,07-资料提炼/教学逻辑提炼/质心 元素化学和结构化学 上/教学逻辑提炼-质心-硫与氮-第一轮.md; 07-资料提炼/教学逻辑提炼/质心 元素化学和结构化学 上/教学逻辑提炼-质心-非金属元素小结-第一轮.md; 12-教学洞察/教学洞察-氧族与氮族元素.md
KP-晶体结构基础,5,07-资料提炼/教学逻辑提炼/质心 元素化学和结构化学 下/教学逻辑提炼-质心-晶体结构-第一轮.md
KP-离子晶体,5,07-资料提炼/教学逻辑提炼/质心 元素化学和结构化学 下/教学逻辑提炼-质心-晶体结构-第一轮.md
决赛要求-结构与配位化学深化,5,09-审计报告/2026-07-12-全库逐文件深度审计.md
KP-A,5,11-模板/模板-复习课.md
KP-B,5,11-模板/模板-复习课.md
自动汇总-*,4,00-首页/使用说明.md; 00-首页/状态摘要.md; 00-首页/自动汇总-说明.md
过渡态理论,4,00-首页/图片索引.md; 03-知识点/化学原理/同位素效应.md; 04-题库/教材习题/物理化学Atkins/主题17-19-动力学与表面过程-习题.md
偶合常数,4,00-首页/图片索引.md; 07-资料提炼/书籍提炼/提炼-Clayden-第13章-核磁共振氢谱.md; 07-资料提炼/书籍提炼/提炼-Clayden-第18章-光谱法综述.md
自由基环化,4,00-首页/工作日志/2026-05-10.md; 04-题库/有机化学/自由基反应/题-有机-自由基-分子内环化与Baldwin规则.md; 05-真题库/真题-自由基-开环环化-001.md
D/L构型,4,00-首页/工作日志/2026-05-18.md; 04-题库/有机化学/有机结构基础与电子效应/题-有机-结构-糖类D-L构型与环状结构.md; 04-题库/有机化学/有机结构基础与电子效应/题-有机-结构-糖类旋光性与变旋光现象.md
酚的亲核性,4,00-首页/工作日志/2026-05-22.md; 00-首页/活跃任务/任务卡-竞赛拓展批量填充-P1-5.md; 04-题库/真题/第34届初赛/有机化学/题-034-10-2-亚砜活化反应产物推断.md
04-课件/备课大纲/2026-05-23-氧化还原与电化学-基础班,4,00-首页/工作日志/2026-05-24.md; 00-首页/工作日志/2026-05-27.md
04-专题与题型/,4,03-知识点/README.md; 04-课件/备课大纲/2026-06-10-有效数字等2个知识点.md; 04-课件/备课大纲/2026-06-10-理想气体状态方程等4个知识点-v2.md
提炼-分析化学第六版-第1章-定量分析概论,4,03-知识点/分析化学/基准物质.md; 03-知识点/分析化学/标准溶液.md
题-Ch21-配位反应机理-习题,4,03-知识点/无机和结构化学/Marcus理论.md; 03-知识点/无机和结构化学/内层电子转移.md; 03-知识点/无机和结构化学/外层电子转移.md
簇合物结构,4,03-知识点/无机和结构化学/磷化学.md; 04-题库/化学原理/Ch15-元素化学/15-33.md; 04-题库/真题/第33届初赛/无机和结构化学/题-033-5-3-氧配位类型数目.md
化学计量与气体,4,04-专题与题型/专题/专题-化学热力学.md; 04-课件/备课大纲/2026-06-02-定量化学分析-基础班.md; 04-课件/备课大纲/2026-06-02-气体与溶液-基础班.md
07-资料提炼/书籍提炼/提炼-Clayden-第2章-有机结构基础,4,04-专题与题型/题型/题型-R-S构型判断.md; 04-专题与题型/题型/题型-中间体判断.md; 04-专题与题型/题型/题型-供体受体判断.md
误差处理与分光光度法,4,04-专题与题型/题型/题型-分光光度法计算.md; 04-专题与题型/题型/题型-有效数字.md; 04-专题与题型/题型/题型-误差分析.md
定量化学分析,4,04-专题与题型/题型/题型-有效数字.md; 04-专题与题型/题型/题型-误差分析.md; 04-专题与题型/题型/题型-重量分析计算.md
04-课件/学生讲义/2026-06-23-有机波谱分析/,4,04-课件/学生讲义/README.md
04-课件/学生讲义/2026-06-23-过渡金属催化/,4,04-课件/学生讲义/README.md
04-课件/学生讲义/2026-06-23-周环反应/,4,04-课件/学生讲义/README.md
热化学方程式,4,04-题库/化学原理/Ch05-化学热力学/05-28.md; 04-题库/教材习题/上海中学竞赛课程/题-051-上海中学-化学反应能量变化-习题1.md; 12-教学洞察/教学洞察-物化综合计算.md
水的离子积,4,04-题库/化学原理/Ch08-酸碱平衡/08-25.md; 04-题库/化学原理/Ch08-酸碱平衡/08-26.md; 04-题库/教材习题/无机化学例题与习题/Ch08-酸碱解离平衡/习题/8.13-8.25-填空题.md
多元弱酸,4,04-题库/化学原理/Ch08-酸碱平衡/08-26.md; 04-题库/教材习题/无机化学例题与习题/Ch08-酸碱解离平衡/习题/8.1-8.12-选择题.md; 04-题库/教材习题/无机化学例题与习题/Ch08-酸碱解离平衡/例题/例8.2-多元弱酸分步解离.md
