broken_name,substring_candidates,occurrences,sample_sources
硫酸,04-题库/教材习题/ABOC/题-080-ABOC-Ch1-1.1.2-在下图的框中使用推电子箭头描述以下反应可能的两种机理 硫酸 .md | 04-题库/教材习题/ABOC/题-133-ABOC-Ch5-5.4.4-写出苯酚在浓硫酸或无水氯化锌的作用下与邻苯二甲酸酐反应生成酚.md | 04-题库/教材习题/无机化学例题与习题/Ch16-氧族元素/例题/例16.7-硫酸盐热稳定性.md | 04-题库/真题/第25届初赛/分析化学/题-025-4-2-硫代硫酸钠滴定.md | 04-题库/真题/第27届初赛/无机和结构化学/题-027-1-2-KCN与CuSO4反应.md | 04-题库/真题/第29届初赛/分析化学/题-029-4-2-硫酸亚铁铵滴定方程式.md,11,04-题库/教材习题/上海中学竞赛课程/题-008-上海中学-氧族元素-习题1.md; 04-题库/教材习题/上海中学竞赛课程/题-009-上海中学-氧族元素-习题3.md; 04-题库/教材习题/上海中学竞赛课程/题-010-上海中学-氧族元素-习题4.md
分子轨道,02-考纲条目/基础要求/有机化学/22-分子轨道理论.md | 03-知识点/决赛要求/结构与配位深化/休克尔方法.md | 03-知识点/决赛要求/结构与配位深化/分子轨道理论深化.md | 03-知识点/化学原理/分子轨道理论.md | 03-知识点/化学原理/原子结构.md | 03-知识点/有机化学/有机分子轨道.md,11,04-题库/教材习题/化学竞赛初赛讲义/题-008-初赛讲义-分子结构-习题3.11.md; 04-题库/教材习题/化学竞赛初赛讲义/题-008-初赛讲义-分子结构-习题3.12.md; 04-题库/教材习题/化学竞赛初赛讲义/题-009-初赛讲义-分子结构-习题3.19.md
KP-1,03-知识点/化学原理/平衡常数.md | 04-题库/真题/第25届初赛/化学原理/题-025-6-1-NO2浓度变化计算.md | 04-题库/真题/第30届初赛/化学原理/题-030-6-1-295K下N2O4NO2分压计算.md | 04-题库/真题/第30届初赛/化学原理/题-030-6-2-315K下N2O4NO2分压计算.md,11,11-模板/Agent提示词-知识库使用.md; 11-模板/模板-专题.md; 11-模板/模板-专题练习卷.md
上海中学竞赛课程-化学-第1分册,06-外部资料导入/上海中学竞赛教程/（已压缩）上海中学竞赛课程-化学-第1分册.md,10,04-课件/学生讲义/2026-06-23-元素周期表与周期律.md; 04-课件/学生讲义/2026-06-23-共价键理论.md; 04-课件/学生讲义/2026-06-23-其他类型晶体.md
wikilink,03-知识点/无机和结构化学/硼族元素.md | 03-知识点/无机和结构化学/碱金属.md | 04-题库/真题/第26届初赛/分析化学/题-026-3-3-KI碘量法滴定Cu.md,9,00-首页/工作日志/2026-05-05.md; 00-首页/工作日志/2026-06-22.md; 00-首页/工作日志/2026-06-23.md
分子构型,03-知识点/有机化学/立体化学.md | 04-专题与题型/题型/题型-分子构型判断.md | 04-题库/教材习题/无机化学例题与习题/Ch06-分子结构和共价键理论/例题/例6.2-VSEPR判断分子构型基础.md,9,04-题库/化学原理/Ch12-化学键与分子结构/12-25.md; 04-题库/化学原理/Ch12-化学键与分子结构/12-27.md; 04-题库/化学原理/Ch12-化学键与分子结构/12-28.md
卤化物,03-知识点/无机和结构化学/卤素互化物.md | 03-知识点/有机化学/卤代烃.md | 05-真题库/真题-分析-氧化还原滴定-001.md | 07-资料提炼/书籍提炼/提炼-Clayden-第21章-芳香亲电取代.md,9,04-题库/教材习题/上海中学竞赛课程/题-001-上海中学-卤族元素-习题1.md; 04-题库/教材习题/上海中学竞赛课程/题-002-上海中学-卤族元素-习题2.md; 04-题库/教材习题/上海中学竞赛课程/题-003-上海中学-卤族元素-习题3.md
电极电位,03-知识点/化学原理/电极.md,9,04-题库/教材习题/上海中学竞赛课程/题-004-上海中学-卤族元素-习题4.md; 04-题库/教材习题/上海中学竞赛课程/题-007-上海中学-卤族元素-习题7.md; 04-题库/教材习题/上海中学竞赛课程/题-011-上海中学-氧族元素-习题5.md
有机化合物,04-题库/教材习题/上海中学竞赛课程/题-063-上海中学-有机化合物命名-习题1.md | 04-题库/真题/第28届初赛/无机和结构化学/题-028-5-1-二茂铁制备反应方程式.md | 04-题库/真题/第39届决赛/理论/题-39决理-8-常见有机化合物提纯分离方法.md | 07-资料提炼/书籍提炼/提炼-上海中学竞赛课程-第四分册-有机化合物的命名.md,9,07-资料提炼/书籍提炼/提炼-上海中学竞赛课程-第四分册-二烯烃与炔烃.md; 07-资料提炼/书籍提炼/提炼-上海中学竞赛课程-第四分册-卤代烃与有机金属化合物.md; 07-资料提炼/书籍提炼/提炼-上海中学竞赛课程-第四分册-有机化合物的命名.md
专题-主族元素化学,03-知识点/无机和结构化学/主族元素化学.md | 03-知识点/无机和结构化学/主族元素性质总览.md | 03-知识点/无机和结构化学/元素化学.md | 03-知识点/无机和结构化学/碳族和硼族元素.md | 04-题库/真题/第27届初赛/无机和结构化学/题-027-3-1-硫脲结构式.md | 07-资料提炼/书籍提炼/提炼-普化原理-第15章-元素化学.md,9,07-资料提炼/教学逻辑提炼/Zchem 中级无机结构化学/教学逻辑提炼-Zchem-主族元素的结构化学II-第二轮深化.md; 07-资料提炼/教学逻辑提炼/质心 元素化学和结构化学 下/教学逻辑提炼-质心-p区金属串讲-第一轮.md; 07-资料提炼/教学逻辑提炼/质心 元素化学和结构化学 下/教学逻辑提炼-质心-氮族元素与铜副族-第一轮.md
Note Name,03-知识点/无机和结构化学/碱金属.md | 03-知识点/无机和结构化学/钠.md,9,skills/obsidian-markdown/SKILL.md; skills/obsidian-markdown/references/EMBEDS.md
酸性,03-知识点/无机和结构化学/无机酸.md | 03-知识点/无机和结构化学/氧化物.md | 03-知识点/有机化学/Bent规则.md | 03-知识点/有机化学/有机酸碱性.md | 03-知识点/有机化学/环氧化合物开环.md | 04-题库/教材习题/ABOC/题-100-ABOC-Ch2-2.7.2-2-解释环丙烷的氢酸性和乙烯接近.md,8,04-题库/化学原理/Ch08-酸碱平衡/08-27.md; 04-题库/化学原理/Ch08-酸碱平衡/08-28.md; 04-题库/真题/第34届决赛/理论/题-34决理-2-1-2-硅酸盐结构与酸性.md
亚硝酸,03-知识点/有机化学/Barton反应.md | 04-题库/真题/第31届初赛/无机和结构化学/题-031-1-2-钚氧化方程式.md | 04-题库/真题/第34届初赛/无机和结构化学/题-034-2-3-2-亚硝酸铵分解.md,8,07-资料提炼/教学逻辑提炼/质心 元素化学和结构化学 上/教学逻辑提炼-质心-非金属元素小结-第一轮.md; 12-教学洞察/教学洞察-氧族与氮族元素.md
<KP>,03-知识点/化学原理/平衡常数.md | 04-题库/真题/第25届初赛/化学原理/题-025-6-1-NO2浓度变化计算.md | 04-题库/真题/第30届初赛/化学原理/题-030-6-1-295K下N2O4NO2分压计算.md | 04-题库/真题/第30届初赛/化学原理/题-030-6-2-315K下N2O4NO2分压计算.md,8,11-模板/模板-健康检查报告.md
轨道对称性,03-知识点/化学原理/原子结构.md | 04-题库/真题/第25届决赛/理论/题-025决-1-2-1-双缩脲Cu配合物结构.md | 04-题库/真题/第30届初赛/无机和结构化学/题-030-4-2-立方晶系判断.md | 04-题库/真题/第33届初赛/无机和结构化学/题-033-6-3-B原子坐标.md,7,00-首页/图片索引.md; 00-首页/工作日志/2026-05-22.md; 00-首页/工作日志/2026-06-15.md
燃烧热,03-知识点/化学原理/能量密度.md | 03-知识点/化学原理/量热法.md,7,00-首页/图片索引.md; 04-题库/化学原理/Ch05-化学热力学/05-28.md; 04-题库/有机化学/有机结构基础与电子效应/题-有机-结构-共轭稳定化能计算.md
原子结构-超级充实版（课堂填空）,03-知识点/化学原理/原子结构.md | 07-资料提炼/书籍提炼/提炼-普化原理-第11章-原子结构.md,7,00-首页/工作日志/2026-06-30.md; 04-课件/学生讲义/原子结构-前置知识速查.md; 09-审计报告/审计报告-教学逻辑链路一致性审计-2026-06-30.md
13,00-首页/工作日志/2026-06-13.md | 00-首页/活跃任务/任务卡-2026-07-13-任务_task_178.md | 02-考纲条目/决赛要求/决赛13-超分子聚合物.md | 02-考纲条目/基础要求/无机和结构化学/13-元素化学.md | 04-课件/学生讲义/2026-07-13-分子轨道式相关真题小问总集.md | 04-题库/化学原理/Ch02-气体/02-13.md,7,04-专题与题型/专题/专题-情境化元素推断综合训练.md; 04-专题与题型/专题/专题-氢与卤素.md; 04-专题与题型/专题/专题-氧族与氮族元素.md
氮氧化物,03-知识点/无机和结构化学/氧化物.md,7,04-专题与题型/题型/题型-氮族化合物推断.md; 04-题库/真题/第30届初赛/无机和结构化学/题-030-2-3-棕色物质中NO键长变化.md; 07-资料提炼/教学逻辑提炼/质心 元素化学和结构化学 上/教学逻辑提炼-质心-硫与氮-第一轮.md
有机结构基础与电子效应,03-知识点/有机化学/电子效应.md | 04-专题与题型/专题/专题-有机结构基础与电子效应.md | 04-课件/备课大纲/2026-06-05-有机结构基础与电子效应-提高班.md | 04-课件/新授课/2026-06-05-有机结构基础与电子效应-提高班.md | 04-课件/新授课/2026-06-22-有机结构基础与电子效应速查卡-提高班.md | 07-资料提炼/书籍提炼/提炼-Clayden-第2章-有机结构.md,7,04-课件/新授课/2026-06-04-亲核取代与消除反应-提高班.md; 04-课件/新授课/2026-06-05-周环反应-提高班.md; 04-课件/新授课/2026-06-05-自由基反应-提高班.md
过氧化物,03-知识点/无机和结构化学/氧化物.md | 03-知识点/有机化学/反马氏加成.md | 03-知识点/有机化学/过氧化物效应.md | 04-题库/教材习题/无机化学第5版/题-009-过氧化物方程式.md | 04-题库/真题/第37届决赛/理论/第二场/题-37决理-2-2-过氧化物的制备.md,7,04-题库/教材习题/无机化学例题与习题/Ch12-碱金属和碱土金属/例题/例12.1-完成配平化学反应方程式.md; 04-题库/真题/第30届决赛/理论/题-030决-2-氮氧化合物推断.md; 04-题库/真题/第30届初赛/无机和结构化学/题-030-3-3-1-FeO4中铁价电子组态.md
多步合成,04-题库/有机化学/有机合成与金属有机/题-有机-合成-连续多步合成路线综合.md,7,04-题库/有机化学/有机合成与金属有机/题-有机-合成-连续多步合成路线综合.md; 04-题库/真题/第28届决赛/理论/题-028决-9-山梨醇生物质转化.md; 04-题库/真题/第30届决赛/理论/题-030决-8-串联反应合成.md
羧酸及羧酸衍生物,02-考纲条目/基础要求/有机化学/47-羧酸及羧酸衍生物.md | 03-知识点/有机化学/羧酸.md | 03-知识点/有机化学/羧酸衍生物.md,7,07-资料提炼/书籍提炼/提炼-ABOC-第2章-基本反应.md; 07-资料提炼/教学逻辑提炼/学而思 有机化学基础/教学逻辑提炼-学而思有机化学基础-批次E-酰基取代与活泼亚甲基工具箱.md; 07-资料提炼/网课资料/学而思 有机化学基础/资料提炼-学而思有机化学基础-批次E-羧酸羧衍缩合前置与含氮延伸.md
KP-2,03-知识点/化学原理/平衡常数.md | 04-题库/真题/第25届初赛/化学原理/题-025-6-1-NO2浓度变化计算.md | 04-题库/真题/第30届初赛/化学原理/题-030-6-1-295K下N2O4NO2分压计算.md | 04-题库/真题/第30届初赛/化学原理/题-030-6-2-315K下N2O4NO2分压计算.md,7,11-模板/Agent提示词-知识库使用.md; 11-模板/模板-专题.md; 11-模板/模板-专题练习卷.md
真实气体,07-资料提炼/书籍提炼/提炼-普化原理-第2章-气体.md,6,00-首页/工作日志/2026-06-01.md; 07-资料提炼/教学逻辑提炼/无机化学-周坤-2020/周坤无机新课-知识库自用授课顺序总表.md; 07-资料提炼/教学逻辑提炼/无机化学-周坤-2020/教学逻辑提炼-周坤无机新课-晶体配合物与气体-第一轮.md
热力学初步,02-考纲条目/基础要求/化学原理/06-热力学初步.md | 03-知识点/化学原理/化学热力学.md | 03-知识点/化学原理/热力学.md | 04-专题与题型/专题/专题-热力学初步.md | 04-课件/备课大纲/2026-06-02-热力学初步-基础班.md | 04-课件/学生讲义/热力学初步-超级充实版（自学完整）.md,6,04-课件/备课大纲/2026-06-02-化学动力学初步-基础班.md; 04-课件/备课大纲/2026-06-02-化学平衡-基础班.md; 04-课件/备课大纲/2026-06-02-热力学初步-基础班.md
叠氮酸,04-题库/教材习题/ABOC/题-150-ABOC-Ch5-5.11.3-如果把羧酸换成叠氮酸 产物应该是什么.md,6,04-题库/教材习题/上海中学竞赛课程/题-017-上海中学-氮族元素-习题4.md; 07-资料提炼/教学逻辑提炼/质心 元素化学和结构化学 上/教学逻辑提炼-质心-非金属元素小结-第一轮.md; 12-教学洞察/教学洞察-氧族与氮族元素.md
萃取平衡,03-知识点/分析化学/萃取.md,6,04-题库/教材习题/上海中学竞赛课程/题-058-上海中学-水中平衡-习题1.md; 04-题库/教材习题/化学竞赛初赛讲义/题-072-初赛讲义-溶液与化学分析-习题9.45.md; 04-题库/教材习题/化学竞赛初赛讲义/题-073-初赛讲义-溶液与化学分析-习题9.46.md
酸效应,04-题库/分析化学/络合滴定与重量分析/EDTA络合滴定中酸效应系数的计算.md,6,04-题库/教材习题/无机化学例题与习题/Ch09-沉淀溶解平衡/习题/9.1-9.10-选择题.md; 04-题库/教材习题/无机化学例题与习题/Ch09-沉淀溶解平衡/习题/9.21-9.30-计算题.md; 04-题库/教材习题/无机化学例题与习题/Ch09-沉淀溶解平衡/例题/例9.2-酸度对溶解度的影响.md
质量分数,03-知识点/分析化学/质量分数推断.md | 04-题库/真题/第29届初赛/分析化学/题-029-4-3-腐殖质质量分数计算.md,6,04-题库/教材习题/无机化学例题与习题/Ch11-配位化学基础/例题/例11.10-配合物化学式推导.md; 04-题库/真题/第26届初赛/化学原理/题-026-1-2-配合物热重分析.md; 04-题库/真题/第29届初赛/无机和结构化学/题-029-3-2-拜耳法铝损失率.md
矿物化学式,04-题库/真题/第29届初赛/无机和结构化学/题-029-5-2-复合氧化物化学式.md | 04-题库/真题/第31届初赛/无机和结构化学/题-031-4-1-高压NaCl晶体化学式.md | 04-题库/真题/第33届初赛/无机和结构化学/题-033-6-1-晶体化学式.md | 04-题库/真题/第33届初赛/无机和结构化学/题-033-6-4-替换后化学式.md,6,04-题库/教材习题/无机化学例题与习题/Ch12-碱金属和碱土金属/习题/12.9-12.18-填空题.md; 04-题库/教材习题/无机化学例题与习题/Ch13-硼族元素/习题/Ch13-填空题.md; 04-题库/教材习题/无机化学例题与习题/Ch14-碳族元素/习题/Ch14-填空题.md
熔沸点,03-知识点/化学原理/沸点.md,6,04-题库/真题/第30届初赛/无机和结构化学/题-030-1-2-碱金属性质递变非单调性.md; 07-资料提炼/教学逻辑提炼/质心 化学原理 上/教学逻辑提炼-质心-综合复习-第一轮.md
硝酸,03-知识点/有机化学/Barton反应.md | 04-题库/教材习题/ABOC/题-098-ABOC-Ch2-2.7.1-2-综合学过的知识 描述铜与浓硝酸反应的机理.md | 04-题库/真题/第27届初赛/分析化学/题-027-4-1-硝酸酸化理由.md | 04-题库/真题/第27届初赛/分析化学/题-027-4-2-硝酸汞水合物化学式.md | 04-题库/真题/第27届初赛/无机和结构化学/题-027-1-6-NaN3制备.md | 04-题库/真题/第30届初赛/无机和结构化学/题-030-2-1-棕色环形成反应方程式.md,6,04-题库/真题/第34届决赛/理论/题-34决理-2-1-1-硅化学与腐蚀.md; 07-资料提炼/教学逻辑提炼/质心 元素化学和结构化学 上/教学逻辑提炼-质心-硫与氮-第一轮.md; 12-教学洞察/教学洞察-氧族与氮族元素.md
专题-卤素,03-知识点/无机和结构化学/卤素.md,6,07-资料提炼/书籍提炼/提炼-上海中学竞赛课程-第三分册-卤族元素.md; 07-资料提炼/教学逻辑提炼/Zchem 元素化学与结构化学/教学逻辑提炼-Zchem-卤素-第一轮.md; 07-资料提炼/教学逻辑提炼/质心 元素化学和结构化学 上/教学逻辑提炼-质心-氧族元素-第一轮.md
专题-分子结构,04-专题与题型/专题/专题-分子结构与杂化.md | 04-专题与题型/专题/专题-分子结构基础.md | 04-题库/真题/第31届初赛/无机和结构化学/题-031-2-2-P4S5结构.md | 04-题库/真题/第33届初赛/无机和结构化学/题-033-7-1-2-Pt2F11结构.md | 07-资料提炼/书籍提炼/提炼-Clayden-第4章-分子结构.md | 07-资料提炼/书籍提炼/提炼-普化原理-第12章-化学键与分子结构.md,6,07-资料提炼/教学逻辑提炼/Zchem 元素化学与结构化学/教学逻辑提炼-Zchem-卤素-第一轮.md; 07-资料提炼/教学逻辑提炼/无机化学-周坤-2020/周坤无机新课-知识库自用授课顺序总表.md; 07-资料提炼/教学逻辑提炼/无机化学-周坤-2020/教学逻辑提炼-周坤无机新课-原子结构与分子结构-第一轮.md
专题-氧族元素,03-知识点/无机和结构化学/氧族元素.md,6,07-资料提炼/教学逻辑提炼/质心 元素化学和结构化学 上/教学逻辑提炼-质心-氧族元素-第一轮.md; 07-资料提炼/教学逻辑提炼/质心 元素化学和结构化学 上/教学逻辑提炼-质心-氧族元素深化-第一轮.md; 12-教学洞察/教学洞察-氢与卤素.md
03-知识点/有机化学/有机反应机理,03-知识点/有机化学/反应机理.md | 03-知识点/知识点.md | 04-题库/真题/第27届决赛/理论/题-027决-10~11-有机反应与机理.md | 04-题库/真题/第27届初赛/有机化学/题-027-9-1-同位素标记反应历程.md | 04-题库/真题/第31届初赛/有机化学/题-031-8-2-反应类型与立体化学.md | 04-题库/经典例题/有机化学/索引.md,6,09-审计报告/2026-06-07-断链检测.md; 09-审计报告/2026-06-08-断链检测.md
KP-XX,03-知识点/化学原理/平衡常数.md | 04-题库/真题/第25届初赛/化学原理/题-025-6-1-NO2浓度变化计算.md | 04-题库/真题/第30届初赛/化学原理/题-030-6-1-295K下N2O4NO2分压计算.md | 04-题库/真题/第30届初赛/化学原理/题-030-6-2-315K下N2O4NO2分压计算.md,6,11-模板/Agent-10-备课-轻量.md; 11-模板/Agent提示词-知识库使用.md; 11-模板/模板-备课大纲.md
source,03-知识点/化学原理/化学电源.md,6,11-模板/Agent提示词-知识库维护.md; 11-模板/模板-合并迁移计划.md; 11-模板/模板-差异对照表.md
教学逻辑提炼-质心-钪钛钒(Sc Ti V)-第一轮,03-知识点/无机和结构化学/简单立方堆积.md | 03-知识点/无机和结构化学/钛.md | 03-知识点/无机和结构化学/钪化学.md | 03-知识点/无机和结构化学/钪系、钛系、钒系.md,6,12-教学洞察/教学洞察-钛钒铬锰.md; 12-教学洞察/教学洞察-银金汞钼钨.md
超分子化学,"04-课件/学生讲义/2026-06-23-超分子化学.md | 04-题库/真题/第26届初赛/无机和结构化学/题-026-5-2-氢键二维结构.md | 07-资料提炼/书籍提炼/提炼-Steed-Atwood-超分子化学基础(Ch1,3,5).md | 07-资料提炼/书籍提炼/提炼-Steed-Atwood-超分子化学第7章-模板和自组装.md | mineru/03-教材书籍/超分子化学（斯蒂德，阿特伍德）/超分子化学135章.md | mineru/03-教材书籍/超分子化学（斯蒂德，阿特伍德）/超分子化学斯蒂德,阿特伍德目录11-18.md",5,"00-首页/图片索引.md; 07-资料提炼/书籍提炼/提炼-Steed-Atwood-超分子化学基础(Ch1,3,5).md; 07-资料提炼/书籍提炼/提炼-Steed-Atwood-超分子化学第7章-模板和自组装.md"
稀溶液的通性,02-考纲条目/决赛要求/决赛05-稀溶液的通性.md | 03-知识点/化学原理/溶液.md | 07-资料提炼/书籍提炼/提炼-普化原理-第4章-溶液.md,5,00-首页/工作日志/2026-05-15.md; 07-资料提炼/书籍提炼/提炼-Atkins物理化学-主题05-简单混合物.md
外消旋化,03-知识点/有机化学/内消旋体与外消旋体.md | 04-题库/真题/第38届初赛/题-038-10-2-1-亚砜外消旋化选择.md | 04-题库/真题/第38届初赛/题-038-10-2-2-外消旋化解释.md,5,00-首页/工作日志/2026-05-22.md; 04-题库/真题/第36届决赛/理论/第二场/题-36决理-2-10-Wharton碎片化反应.md; 04-题库/真题/第37届决赛/理论/第二场/题-37决理-2-9-重排反应.md
知识点名,03-知识点/知识点.md,5,00-首页/工作日志/2026-05-24.md; 11-模板/Agent提示词-知识库构建.md; 11-模板/模板-资料提炼.md
