"Front","Back","Tags","Deck","Source","ReviewCycle","NoteType","Extra"
"Raoult与Henry定律 有哪些常见易错点？","• Raoult定律的适用对象：适用于溶剂（大量组分），不是溶质
• Henry常数的单位：不同浓度单位对应的K_H数值不同
• 理想溶液的判断：不能仅凭""相似""就断定理想，需实验验证
• 正偏差与负偏差的混淆：正偏差p > p_{Raoult}，负偏差p < p_{Raoult}
• 恒沸混合物的组成：恒沸组成随压力变化","决赛要求 物理化学深化 Raoult与Henry定律 rc_30d 化竞 决赛 物理化学 溶液","Chem::Core","[[Raoult与Henry定律]]","30d","易错点卡","Raoult定律和Henry定律是描述溶液中组分蒸气压与浓度关系的两个基本定律。Raoult定律适用于理想溶液或稀溶液中的溶剂，Henry定律适用于稀溶液中的溶质（尤其是挥发性溶质）。两者共同构成了溶液热力学的理论基础。"
"什么是分子光谱？","分子光谱（Molecular Spectroscopy）是研究分子与电磁辐射相互作用时吸收、发射或散射光的学科。分子内部存在转动能级、振动能级和电子能级，当分子在这些能级之间跃迁时，会吸收或发射特定波长的光子，形成特征光谱。通过分析分子光谱，可以获得分子的转动惯量、键长、力常数、解离能等结构参数，是物理化学和结构化学的核心实验工具。","物理化学 量子化学与光谱 分子光谱 rc_30d 化竞 决赛 光谱学","Chem::Core","[[分子光谱]]","30d","概念卡",""
"什么是化学动力学深化？","化学动力学研究化学反应的速率及其影响因素，探讨反应机理。决赛阶段在初赛基础上深化到复杂反应体系（对峙反应、平行反应、连续反应），掌握稳态近似法推导速率方程，理解活化能与反应热的微观联系，以及微观可逆性原理。","决赛要求 物理化学深化 化学动力学深化 rc_30d 化竞 决赛 物理化学 动力学","Chem::Core","[[化学动力学深化]]","30d","概念卡","关键结论：
• 对峙反应：平衡常数等于正逆速率常数之比，K = k_1/k_{-1}• 平行反应：产物比例由速率常数比决定，与初始浓度无关• 连续反应：中间产物浓度存在极大值，可通过控制反应时间优化产率• 稳态近似：活泼中间体的浓度近似不随时间变化• 活化能关系：\Delta H = E_{a,正} - E_{a,逆}（基元反应）"
"化学动力学深化 的关键结论有哪些？","• 对峙反应：平衡常数等于正逆速率常数之比，K = k_1/k_{-1}• 平行反应：产物比例由速率常数比决定，与初始浓度无关• 连续反应：中间产物浓度存在极大值，可通过控制反应时间优化产率• 稳态近似：活泼中间体的浓度近似不随时间变化• 活化能关系：\Delta H = E_{a,正} - E_{a,逆}（基元反应）","决赛要求 物理化学深化 化学动力学深化 rc_30d 化竞 决赛 物理化学 动力学","Chem::Core","[[化学动力学深化]]","30d","总结卡","化学动力学研究化学反应的速率及其影响因素，探讨反应机理。决赛阶段在初赛基础上深化到复杂反应体系（对峙反应、平行反应、连续反应），掌握稳态近似法推导速率方程，理解活化能与反应热的微观联系，以及微观可逆性原理。"
"化学动力学深化 有哪些常见易错点？","• 稳态近似的适用时机：反应初期（诱导期）不适用，需等中间体浓度建立稳态。• 连续反应中间体极大值：仅当 k_1 \neq k_2 时公式适用，k_1 = k_2 时需用极限处理。• 活化能与反应热关系：仅对基元反应严格成立，复杂反应的""表观活化能""无直接物理意义。• 平行反应表观活化能：是各路径活化能的加权平均，不是简单算术平均。• 对峙反应平衡常数与速率常数：K = k_1/k_{-1} 仅对基元反应组成的对峙反应成立。","决赛要求 物理化学深化 化学动力学深化 rc_30d 化竞 决赛 物理化学 动力学","Chem::Core","[[化学动力学深化]]","30d","易错点卡","化学动力学研究化学反应的速率及其影响因素，探讨反应机理。决赛阶段在初赛基础上深化到复杂反应体系（对峙反应、平行反应、连续反应），掌握稳态近似法推导速率方程，理解活化能与反应热的微观联系，以及微观可逆性原理。"
"什么是半衰期？","半衰期 t_{1/2} 是指反应物浓度降至初始浓度一半所需的时间。它是衡量反应速率的重要参数，与反应级数密切相关。","决赛要求 物理化学深化 半衰期 rc_30d 化竞 决赛 物理化学 动力学","Chem::Core","[[半衰期]]","30d","概念卡",""
"什么是反应机理与近似？","反应机理（Reaction Mechanism）是对化学反应历程的详细描述，即反应物分子经过哪些基元步骤转化为产物。基元反应是指一步完成的反应，其速率方程可由化学计量系数直接写出。大多数化学反应是由多个基元反应组成的非基元反应（复杂反应）。","决赛要求 物理化学深化 反应机理与近似 rc_30d 化竞 决赛 物理化学 反应机理","Chem::Core","[[反应机理与近似]]","30d","概念卡","关键结论：
• 基元反应：一步完成，速率方程由计量系数直接决定• 稳态近似：活泼中间体 \mathrm{d}[I]/\mathrm{d}t \approx 0，适用于高活性中间体• 平衡近似：速控步前有快速平衡，中间体浓度由平衡常数决定• 速控步：最慢步骤决定总速率，其前后步骤分别视为快速平衡和快速反应• 链反应：引发 \rightarrow 增长 \rightarrow 终止三步循环• 催化剂：改变反应历程，降低活化能，不改变平衡位置"
"反应机理与近似 的关键结论有哪些？","• 基元反应：一步完成，速率方程由计量系数直接决定• 稳态近似：活泼中间体 \mathrm{d}[I]/\mathrm{d}t \approx 0，适用于高活性中间体• 平衡近似：速控步前有快速平衡，中间体浓度由平衡常数决定• 速控步：最慢步骤决定总速率，其前后步骤分别视为快速平衡和快速反应• 链反应：引发 \rightarrow 增长 \rightarrow 终止三步循环• 催化剂：改变反应历程，降低活化能，不改变平衡位置","决赛要求 物理化学深化 反应机理与近似 rc_30d 化竞 决赛 物理化学 反应机理","Chem::Core","[[反应机理与近似]]","30d","总结卡","反应机理（Reaction Mechanism）是对化学反应历程的详细描述，即反应物分子经过哪些基元步骤转化为产物。基元反应是指一步完成的反应，其速率方程可由化学计量系数直接写出。大多数化学反应是由多个基元反应组成的非基元反应（复杂反应）。"
"反应机理与近似 有哪些常见易错点？","• 混淆基元反应与非基元反应：非基元反应的速率方程不能由计量系数直接写出• 稳态近似的适用时机：反应初期（诱导期）不适用• 平衡近似的适用条件：必须有明确的快速平衡步骤和速控步• 中间体与过渡态的区别：中间体有一定寿命和浓度，过渡态是能量极大点• 催化剂不改变平衡：催化剂同等程度加快正逆反应，不改变平衡常数• 链反应中的稳态处理：链载体（自由基）适用稳态近似，但需注意引发和终止步骤","决赛要求 物理化学深化 反应机理与近似 rc_30d 化竞 决赛 物理化学 反应机理","Chem::Core","[[反应机理与近似]]","30d","易错点卡","反应机理（Reaction Mechanism）是对化学反应历程的详细描述，即反应物分子经过哪些基元步骤转化为产物。基元反应是指一步完成的反应，其速率方程可由化学计量系数直接写出。大多数化学反应是由多个基元反应组成的非基元反应（复杂反应）。"
"什么是基元反应？","基元反应（Elementary Reaction）：反应物分子在碰撞中一步直接转化为产物分子的反应，无需经过任何中间体。基元反应是构成复杂反应机理的基本单元。","决赛要求 物理化学深化 反应动力学 基元反应 rc_30d 化竞 决赛","Chem::Core","[[基元反应]]","30d","概念卡",""
"什么是平衡近似？","平衡近似（Pre-equilibrium Approximation）：假设反应机理中存在一个快速达到平衡的基元步骤，其后的慢步骤为速率控制步骤。利用平衡常数表达式消去中间体浓度。","决赛要求 物理化学深化 反应动力学 平衡近似 rc_30d 化竞 决赛","Chem::Core","[[平衡近似]]","30d","概念卡",""
"什么是电化学深化？","电化学是研究化学能与电能相互转化规律的学科。决赛阶段在初赛基础上深化到可逆电池热力学、电极电势的定量计算、电导与迁移数、超电势与电解等方面，要求掌握Nernst方程的灵活应用、Latimer图、元素电势图的分析，以及电化学方法在测定热力学数据中的应用。","决赛要求 物理化学深化 电化学深化 rc_30d 化竞 决赛 物理化学 电化学","Chem::Core","[[电化学深化]]","30d","概念卡","关键结论：
• 电池热力学：\Delta_r G_m = -nFE，\Delta_r S_m = nF(\partial E/\partial T)_p• Nernst方程：E = E^\ominus + \frac{0.0591 \mathrm{V}}{n}\lg \frac{[\mathrm{ox}]}{[\mathrm{red}]}• Latimer图：E^\ominus = \frac{\sum n_iE_i^\ominus}{\sum n_i}，歧化条件为右侧电势 > 左侧电势• 电导关系：\Lambda_m = \kappa/c，\Lambda_m^\infty = \lambda_+^\infty + \lambda_-^\infty• 迁移数：t_+ = \lambda_+/\Lambda_m，t_+ + t_- = 1• 超电势：E_{分解} = E_{理论} + \eta_+ + \eta_-• Butler-Volmer方程：j = j_0[e^{(1-\alpha)f\eta} - e^{-\alpha f\eta}]，f = F/RT• Tafel方程：\eta = a + b\log | j | ，Tafel斜率 b = 2.303RT/(\alpha F)• 电荷转移电阻：R_{ct} = RT/(Fj_0)（低超电势极限）• 电解竞争：j'/j = (j_0'/j_0)e^{(\eta-\eta')\alpha f}，高j_0和高气体超电势有利于金属沉积"
"电化学深化 的关键结论有哪些？","• 电池热力学：\Delta_r G_m = -nFE，\Delta_r S_m = nF(\partial E/\partial T)_p• Nernst方程：E = E^\ominus + \frac{0.0591 \mathrm{V}}{n}\lg \frac{[\mathrm{ox}]}{[\mathrm{red}]}• Latimer图：E^\ominus = \frac{\sum n_iE_i^\ominus}{\sum n_i}，歧化条件为右侧电势 > 左侧电势• 电导关系：\Lambda_m = \kappa/c，\Lambda_m^\infty = \lambda_+^\infty + \lambda_-^\infty• 迁移数：t_+ = \lambda_+/\Lambda_m，t_+ + t_- = 1• 超电势：E_{分解} = E_{理论} + \eta_+ + \eta_-• Butler-Volmer方程：j = j_0[e^{(1-\alpha)f\eta} - e^{-\alpha f\eta}]，f = F/RT• Tafel方程：\eta = a + b\log | j | ，Tafel斜率 b = 2.303RT/(\alpha F)• 电荷转移电阻：R_{ct} = RT/(Fj_0)（低超电势极限）• 电解竞争：j'/j = (j_0'/j_0)e^{(\eta-\eta')\alpha f}，高j_0和高气体超电势有利于金属沉积","决赛要求 物理化学深化 电化学深化 rc_30d 化竞 决赛 物理化学 电化学","Chem::Core","[[电化学深化]]","30d","总结卡","电化学是研究化学能与电能相互转化规律的学科。决赛阶段在初赛基础上深化到可逆电池热力学、电极电势的定量计算、电导与迁移数、超电势与电解等方面，要求掌握Nernst方程的灵活应用、Latimer图、元素电势图的分析，以及电化学方法在测定热力学数据中的应用。"
"电化学深化 有哪些常见易错点？","• 电极电势的符号：E_{池} = E_{正} - E_{负}，注意正负极判断• Latimer图计算：电势是强度量，不能直接加减，必须用 nE 加权平均• Nernst方程中的n：是半反应中的电子转移数，不是总反应• 活度与浓度：浓溶液中需用活度代替浓度• 超电势的方向：阳极超电势使电势升高，阴极超电势使电势降低• Butler-Volmer符号：Atkins中 j = j_a - j_c，j > 0 为阳极电流，j < 0 为阴极电流• Tafel区条件：需满足高超电势（ | \eta |  \geq 0.12 \mathrm{V}），低超电势区Tafel曲线非线性• 交换电流密度的数量级：不同电极上可相差数个数量级，决定电极可逆性","决赛要求 物理化学深化 电化学深化 rc_30d 化竞 决赛 物理化学 电化学","Chem::Core","[[电化学深化]]","30d","易错点卡","电化学是研究化学能与电能相互转化规律的学科。决赛阶段在初赛基础上深化到可逆电池热力学、电极电势的定量计算、电导与迁移数、超电势与电解等方面，要求掌握Nernst方程的灵活应用、Latimer图、元素电势图的分析，以及电化学方法在测定热力学数据中的应用。"
"什么是碰撞理论与过渡态理论？","碰撞理论（Collision Theory）和过渡态理论（Transition State Theory, TST）是解释基元反应速率的两大经典理论。碰撞理论从分子碰撞的微观角度出发，将反应视为刚性球体的碰撞过程；过渡态理论则从量子力学和统计力学角度，将反应描述为反应物经过高能过渡态（活化络合物）转化为产物的过程。","决赛要求 物理化学深化 碰撞理论与过渡态理论 rc_30d 化竞 决赛 物理化学 动力学","Chem::Core","[[碰撞理论与过渡态理论]]","30d","概念卡","关键结论：
• 碰撞理论三要素：反应速率 = 碰撞频率 × 能量因子 × 方位因子• Arrhenius参数解释：$A ="
"碰撞理论与过渡态理论 的关键结论有哪些？","• 碰撞理论三要素：反应速率 = 碰撞频率 × 能量因子 × 方位因子• Arrhenius参数解释：$A =","决赛要求 物理化学深化 碰撞理论与过渡态理论 rc_30d 化竞 决赛 物理化学 动力学","Chem::Core","[[碰撞理论与过渡态理论]]","30d","总结卡","碰撞理论（Collision Theory）和过渡态理论（Transition State Theory, TST）是解释基元反应速率的两大经典理论。碰撞理论从分子碰撞的微观角度出发，将反应视为刚性球体的碰撞过程；过渡态理论则从量子力学和统计力学角度，将反应描述为反应物经过高能过渡态（活化络合物）转化为产物的过程。"
"碰撞理论与过渡态理论 有哪些常见易错点？","• 碰撞理论的适用范围：仅适用于气体双分子反应，不适用于溶液反应和单分子反应• 方位因子 P 的理解：P \leq 1，复杂分子的 P 可能很小（10^{-5} 量级）• 活化能与临界能的区别：E_a 是宏观实验量，E_c 是微观理论量，二者近似相等但不完全相同• Eyring方程中 \Delta H^\ddagger 与 E_a 的关系：E_a = \Delta H^\ddagger + RT（凝聚相）• 过渡态与中间体的区别：过渡态是势能极大点，不稳定；中间体是势能极小点，有一定寿命","决赛要求 物理化学深化 碰撞理论与过渡态理论 rc_30d 化竞 决赛 物理化学 动力学","Chem::Core","[[碰撞理论与过渡态理论]]","30d","易错点卡","碰撞理论（Collision Theory）和过渡态理论（Transition State Theory, TST）是解释基元反应速率的两大经典理论。碰撞理论从分子碰撞的微观角度出发，将反应视为刚性球体的碰撞过程；过渡态理论则从量子力学和统计力学角度，将反应描述为反应物经过高能过渡态（活化络合物）转化为产物的过程。"
"稀溶液依数性 的关键结论有哪些？","• 依数性的本质：只取决于溶质粒子的数目（浓度），与溶质种类无关
• 蒸气压下降是根源：沸点升高、凝固点降低、渗透压都源于溶剂蒸气压下降
• 电解质溶液需校正：强电解质完全解离，实际粒子数为 i \times n（i 为 van't Hoff 因子）
• 适用条件：稀溶液（通常 m < 0.1 mol/kg）；溶质非挥发性（蒸气压/沸点）；溶质不进入固相（凝固点）
• 渗透压最灵敏：对于相同浓度的稀溶液，渗透压的数值变化最大，适合测定大分子摩尔质量","决赛要求 物理化学深化 稀溶液依数性 rc_30d 化竞 决赛 物理化学","Chem::Core","[[稀溶液依数性]]","30d","总结卡",""
"什么是稳态近似？","稳态近似（Steady-State Approximation, SSA）：假设反应中间体的浓度在反应进行期间保持很低且几乎不变，即其生成速率等于消耗速率：","决赛要求 物理化学深化 反应动力学 稳态近似 rc_30d 化竞 决赛","Chem::Core","[[稳态近似]]","30d","概念卡",""
"什么是链反应？","链反应（Chain Reaction）：通过活性中间体（通常是自由基或原子）的反复再生，使反应像链条一样持续进行的反应。每消耗一个活性中间体可产生一个新的活性中间体，形成链式传递。","决赛要求 物理化学深化 反应动力学 链反应 rc_30d 化竞 决赛","Chem::Core","[[链反应]]","30d","概念卡",""
"什么是Bohr模型计算？","Bohr模型是1913年丹麦物理学家Niels Bohr在Rutherford核原子模型基础上，结合Planck量子论和Einstein光子学说提出的氢原子结构理论。该模型通过三个基本假设，成功地从理论上解释了氢原子光谱的实验规律，并给出了类氢离子（单电子体系）能级、轨道半径等物理量的精确计算公式。尽管Bohr模型对多电子原子无能为力，但其核心结论——能量量子化和能级公式——在量子力学中得到了严格证明。","无机和结构化学 决赛要求 结构与配位深化 Bohr模型计算 rc_30d 化竞 决赛 结构化学 原子结构","Chem::Core","[[Bohr模型计算]]","30d","概念卡","关键结论：
• 能量量子化：电子只能处于分立的能级，能量不连续• 基态能量：氢原子基态能量 E_1 = -13.6 eV，即氢原子电离能为13.6 eV• 能级简并：类氢离子中，给定 n 的所有轨道能量相同（与 l 无关）• 光谱不连续性：线状光谱源于能级间的不连续跃迁• Bohr模型的量子力学验证：Schrödinger方程求解类氢离子得到完全相同的能量公式"
"Bohr模型计算 的关键结论有哪些？","• 能量量子化：电子只能处于分立的能级，能量不连续• 基态能量：氢原子基态能量 E_1 = -13.6 eV，即氢原子电离能为13.6 eV• 能级简并：类氢离子中，给定 n 的所有轨道能量相同（与 l 无关）• 光谱不连续性：线状光谱源于能级间的不连续跃迁• Bohr模型的量子力学验证：Schrödinger方程求解类氢离子得到完全相同的能量公式","无机和结构化学 决赛要求 结构与配位深化 Bohr模型计算 rc_30d 化竞 决赛 结构化学 原子结构","Chem::Core","[[Bohr模型计算]]","30d","总结卡","Bohr模型是1913年丹麦物理学家Niels Bohr在Rutherford核原子模型基础上，结合Planck量子论和Einstein光子学说提出的氢原子结构理论。该模型通过三个基本假设，成功地从理论上解释了氢原子光谱的实验规律，并给出了类氢离子（单电子体系）能级、轨道半径等物理量的精确计算公式。尽管Bohr模型对多电子原子无能为力，但其核心结论——能量量子化和能级公式——在量子力学中得到了严格证明。"
"Bohr模型计算 有哪些常见易错点？","• 能级符号混淆：E_n 为负值，n 越大能量越高（越接近零）• 跃迁方向与能量符号：发射光子时 \Delta E = E_{高} - E_{低} > 0，吸收光子时 \Delta E > 0 表示需要能量• 单位换算错误：注意eV、J、kJ/mol之间的换算，1 \text{ eV} = 1.602 \times 10^{-19} \text{ J} = 96.49 \text{ kJ/mol}• **类氢离子的","无机和结构化学 决赛要求 结构与配位深化 Bohr模型计算 rc_30d 化竞 决赛 结构化学 原子结构","Chem::Core","[[Bohr模型计算]]","30d","易错点卡","Bohr模型是1913年丹麦物理学家Niels Bohr在Rutherford核原子模型基础上，结合Planck量子论和Einstein光子学说提出的氢原子结构理论。该模型通过三个基本假设，成功地从理论上解释了氢原子光谱的实验规律，并给出了类氢离子（单电子体系）能级、轨道半径等物理量的精确计算公式。尽管Bohr模型对多电子原子无能为力，但其核心结论——能量量子化和能级公式——在量子力学中得到了严格证明。"
"什么是d轨道分裂？","在配合物中，中心金属离子的5个简并d轨道由于配体场的静电排斥作用，能量发生分裂，形成不同能级的d轨道组。这是晶体场理论和配位场理论的核心内容。","无机和结构化学 决赛要求 结构与配位深化 d轨道分裂 rc_30d 化竞 决赛 结构化学 配合物 晶体场理论","Chem::Core","[[d轨道分裂]]","30d","概念卡",""
"什么是Jahn-Teller效应？","Jahn-Teller效应（简称JT效应）是指简并电子基态的非线性分子（或配合物）会通过几何畸变降低对称性、消除简并、稳定体系的现象。该效应由Hermann Jahn和Edward Teller于1937年从理论上证明，因此得名。","无机和结构化学 决赛要求 结构与配位深化 Jahn-Teller效应 rc_30d 化竞 决赛 配合物 晶体场","Chem::Core","[[Jahn-Teller效应]]","30d","概念卡","关键结论：
• JT定理的适用范围：只适用于非线性分子；线性分子即使有简并基态也不发生JT畸变• e_g不对称 → 强JT效应：因为e_g轨道直接指向配体• t₂g不对称 → 弱JT效应：因为t₂g轨道不直接指向配体• 全满/半满/全空 → 无JT效应：如d³(t₂g³)、d⁵高自旋(t₂g³e_g²)、d⁶低自旋(t₂g⁶)、d⁸(t₂g⁶e_g²)、d¹⁰• 畸变方向：通常沿z轴伸长（因为dᵤ²能量降低比dₓ²₋ᵧ²更显著）• JT稳定化能：强JT效应约几个到十几个kJ/mol，弱JT效应约1-2 kJ/mol• d⁹四配位平面四方形的本质：不是dsp²杂化，而是拉长八面体的极限（z轴两个配体被拉至极远距离，失去配位作用）"
"Jahn-Teller效应 的关键结论有哪些？","• JT定理的适用范围：只适用于非线性分子；线性分子即使有简并基态也不发生JT畸变• e_g不对称 → 强JT效应：因为e_g轨道直接指向配体• t₂g不对称 → 弱JT效应：因为t₂g轨道不直接指向配体• 全满/半满/全空 → 无JT效应：如d³(t₂g³)、d⁵高自旋(t₂g³e_g²)、d⁶低自旋(t₂g⁶)、d⁸(t₂g⁶e_g²)、d¹⁰• 畸变方向：通常沿z轴伸长（因为dᵤ²能量降低比dₓ²₋ᵧ²更显著）• JT稳定化能：强JT效应约几个到十几个kJ/mol，弱JT效应约1-2 kJ/mol• d⁹四配位平面四方形的本质：不是dsp²杂化，而是拉长八面体的极限（z轴两个配体被拉至极远距离，失去配位作用）","无机和结构化学 决赛要求 结构与配位深化 Jahn-Teller效应 rc_30d 化竞 决赛 配合物 晶体场","Chem::Core","[[Jahn-Teller效应]]","30d","总结卡","Jahn-Teller效应（简称JT效应）是指简并电子基态的非线性分子（或配合物）会通过几何畸变降低对称性、消除简并、稳定体系的现象。该效应由Hermann Jahn和Edward Teller于1937年从理论上证明，因此得名。"
