hash,block_count,chapter_count,group_count,chapters,groups,blocks_with_sources
424a904d93eae391858d105dc39d7521cefb5995307cb6b9c63d9dce223edbfb,4,1,4,"第三篇-有机化学","题-029-2 | 题-033-1 | 题-025-9 | 题-有机-周环-DielsAlder反应endo选择性判断","第三篇-有机化学/1-结构基础与波谱分析.md@1.2=>题-029-2-3-1-聚乙二醇结构判断 ; 第三篇-有机化学/1-结构基础与波谱分析.md@1.9=>题-033-1-1-乙烯氧化产物推断 ; 第三篇-有机化学/7-金属有机与偶联反应.md@7.16=>题-025-9-1-有机推断结构式 ; 第三篇-有机化学/8-周环反应与自由基.md@8.34=>题-有机-周环-DielsAlder反应endo选择性判断"
f80d6189db9f37544606d0f46c9a39ef8bae2c2025d1b2cab945944845644a29,4,1,4,"第三篇-有机化学","题-029-2 | 题-033-1 | 题-025-9 | 题-有机-周环-DielsAlder反应endo选择性判断","第三篇-有机化学/1-结构基础与波谱分析.md@1.2=>题-029-2-3-1-聚乙二醇结构判断 ; 第三篇-有机化学/1-结构基础与波谱分析.md@1.9=>题-033-1-1-乙烯氧化产物推断 ; 第三篇-有机化学/7-金属有机与偶联反应.md@7.16=>题-025-9-1-有机推断结构式 ; 第三篇-有机化学/8-周环反应与自由基.md@8.34=>题-有机-周环-DielsAlder反应endo选择性判断"
690a3399707fc8d5f04444d23f8b7fdc98f8bd86461f9b64dd81ce576e16dfa7,4,1,4,"第三篇-有机化学","题-029-2 | 题-033-1 | 题-025-9 | 题-有机-周环-DielsAlder反应endo选择性判断","第三篇-有机化学/1-结构基础与波谱分析.md@1.2=>题-029-2-3-1-聚乙二醇结构判断 ; 第三篇-有机化学/1-结构基础与波谱分析.md@1.9=>题-033-1-1-乙烯氧化产物推断 ; 第三篇-有机化学/7-金属有机与偶联反应.md@7.16=>题-025-9-1-有机推断结构式 ; 第三篇-有机化学/8-周环反应与自由基.md@8.34=>题-有机-周环-DielsAlder反应endo选择性判断"
1c77707c74523022138e4115885aadf37f81e1c266556e5797513a725b92b265,4,1,4,"第三篇-有机化学","题-029-2 | 题-033-1 | 题-025-9 | 题-有机-周环-DielsAlder反应endo选择性判断","第三篇-有机化学/1-结构基础与波谱分析.md@1.2=>题-029-2-3-1-聚乙二醇结构判断 ; 第三篇-有机化学/1-结构基础与波谱分析.md@1.9=>题-033-1-1-乙烯氧化产物推断 ; 第三篇-有机化学/7-金属有机与偶联反应.md@7.16=>题-025-9-1-有机推断结构式 ; 第三篇-有机化学/8-周环反应与自由基.md@8.34=>题-有机-周环-DielsAlder反应endo选择性判断"
84db0fccc28fc38bfa27a1a9c1f40219dc17454e664109f4467ee94b3d317351,2,1,2,"第三篇-有机化学","题-028-9 | 题-033-1","第三篇-有机化学/1-结构基础与波谱分析.md@1.4=>题-028-9-1-苄基正离子稳定性排序 ; 第三篇-有机化学/6-羰基化学与缩合反应.md@6.2=>题-033-1-3-聚酰亚胺合成"
7c15969c41ab47f5a27235bcc1049bf8e684eaad1ae5f6109e1bd460b9b08118,3,1,3,"第三篇-有机化学","题-029-2 | 题-ZOC-013-康尼查罗反应氘代标记实验 | 题-有机-中间体-亚胺正离子催化机理","第三篇-有机化学/1-结构基础与波谱分析.md@1.7=>题-029-2-3-2-聚乙二醇保水原理 ; 第三篇-有机化学/11-反应机理与推断.md@11.30=>题-ZOC-013-康尼查罗反应氘代标记实验 ; 第三篇-有机化学/11-反应机理与推断.md@11.58=>题-有机-中间体-亚胺正离子催化机理"
a7007ea4cfec7fc28d4ec1020134e3211754b221220c904cadbd60d818610a94,3,1,3,"第三篇-有机化学","题-029-2 | 题-ZOC-013-康尼查罗反应氘代标记实验 | 题-有机-中间体-亚胺正离子催化机理","第三篇-有机化学/1-结构基础与波谱分析.md@1.7=>题-029-2-3-2-聚乙二醇保水原理 ; 第三篇-有机化学/11-反应机理与推断.md@11.30=>题-ZOC-013-康尼查罗反应氘代标记实验 ; 第三篇-有机化学/11-反应机理与推断.md@11.58=>题-有机-中间体-亚胺正离子催化机理"
daad9101d443a59fddc993be66341ff819098b13fb69f252d5f94305eb968eee,3,1,3,"第三篇-有机化学","题-029-2 | 题-ZOC-013-康尼查罗反应氘代标记实验 | 题-有机-中间体-亚胺正离子催化机理","第三篇-有机化学/1-结构基础与波谱分析.md@1.7=>题-029-2-3-2-聚乙二醇保水原理 ; 第三篇-有机化学/11-反应机理与推断.md@11.30=>题-ZOC-013-康尼查罗反应氘代标记实验 ; 第三篇-有机化学/11-反应机理与推断.md@11.58=>题-有机-中间体-亚胺正离子催化机理"
b6990c246f45a1b72e9892d419433a015e96d47fa2be0fc96535bab85b2127ef,3,1,3,"第三篇-有机化学","题-029-2 | 题-ZOC-013-康尼查罗反应氘代标记实验 | 题-有机-中间体-亚胺正离子催化机理","第三篇-有机化学/1-结构基础与波谱分析.md@1.7=>题-029-2-3-2-聚乙二醇保水原理 ; 第三篇-有机化学/11-反应机理与推断.md@11.30=>题-ZOC-013-康尼查罗反应氘代标记实验 ; 第三篇-有机化学/11-反应机理与推断.md@11.58=>题-有机-中间体-亚胺正离子催化机理"
b379b82b39df262bb15608af80003a833635cef8084a209254fed966d7ebabd4,3,1,3,"第三篇-有机化学","题-029-2 | 题-ZOC-013-康尼查罗反应氘代标记实验 | 题-有机-中间体-亚胺正离子催化机理","第三篇-有机化学/1-结构基础与波谱分析.md@1.7=>题-029-2-3-2-聚乙二醇保水原理 ; 第三篇-有机化学/11-反应机理与推断.md@11.30=>题-ZOC-013-康尼查罗反应氘代标记实验 ; 第三篇-有机化学/11-反应机理与推断.md@11.58=>题-有机-中间体-亚胺正离子催化机理"
e359e3d72559f07e0d0c0c9f2640e25e9a9a8b21efab8b3e2c713c658adbb5ba,3,1,3,"第三篇-有机化学","题-029-2 | 题-ZOC-013-康尼查罗反应氘代标记实验 | 题-有机-中间体-亚胺正离子催化机理","第三篇-有机化学/1-结构基础与波谱分析.md@1.7=>题-029-2-3-2-聚乙二醇保水原理 ; 第三篇-有机化学/11-反应机理与推断.md@11.30=>题-ZOC-013-康尼查罗反应氘代标记实验 ; 第三篇-有机化学/11-反应机理与推断.md@11.58=>题-有机-中间体-亚胺正离子催化机理"
9d6a1c9b5b91dc0b8d9e83fe7a54ff51300e6fe8cac562b94a59b01d85e1578a,3,1,3,"第三篇-有机化学","题-029-2 | 题-ZOC-013-康尼查罗反应氘代标记实验 | 题-有机-中间体-亚胺正离子催化机理","第三篇-有机化学/1-结构基础与波谱分析.md@1.7=>题-029-2-3-2-聚乙二醇保水原理 ; 第三篇-有机化学/11-反应机理与推断.md@11.30=>题-ZOC-013-康尼查罗反应氘代标记实验 ; 第三篇-有机化学/11-反应机理与推断.md@11.58=>题-有机-中间体-亚胺正离子催化机理"
9c66682326b7f2e1d41518b98d3e810ded45396868ae93c2e30c71077f55955f,3,1,3,"第三篇-有机化学","题-029-2 | 题-ZOC-013-康尼查罗反应氘代标记实验 | 题-有机-中间体-亚胺正离子催化机理","第三篇-有机化学/1-结构基础与波谱分析.md@1.7=>题-029-2-3-2-聚乙二醇保水原理 ; 第三篇-有机化学/11-反应机理与推断.md@11.30=>题-ZOC-013-康尼查罗反应氘代标记实验 ; 第三篇-有机化学/11-反应机理与推断.md@11.58=>题-有机-中间体-亚胺正离子催化机理"
cd2ecdc4715abe61e7fcdcb129537a0cebf941cfdbd08d978cc29dc2c751f697,3,1,3,"第三篇-有机化学","题-029-2 | 题-ZOC-013-康尼查罗反应氘代标记实验 | 题-有机-中间体-亚胺正离子催化机理","第三篇-有机化学/1-结构基础与波谱分析.md@1.7=>题-029-2-3-2-聚乙二醇保水原理 ; 第三篇-有机化学/11-反应机理与推断.md@11.30=>题-ZOC-013-康尼查罗反应氘代标记实验 ; 第三篇-有机化学/11-反应机理与推断.md@11.58=>题-有机-中间体-亚胺正离子催化机理"
5b630ae357a812b474879762b15a30b9138b532d338ed3adea44b8a4eeaba9c4,3,1,3,"第三篇-有机化学","题-029-2 | 题-ZOC-013-康尼查罗反应氘代标记实验 | 题-有机-中间体-亚胺正离子催化机理","第三篇-有机化学/1-结构基础与波谱分析.md@1.7=>题-029-2-3-2-聚乙二醇保水原理 ; 第三篇-有机化学/11-反应机理与推断.md@11.30=>题-ZOC-013-康尼查罗反应氘代标记实验 ; 第三篇-有机化学/11-反应机理与推断.md@11.58=>题-有机-中间体-亚胺正离子催化机理"
6f698ca5467e2aa36106d86789a1be8e6340a0e6282439049e3ec37c56c607f4,3,1,3,"第三篇-有机化学","题-029-2 | 题-ZOC-013-康尼查罗反应氘代标记实验 | 题-有机-中间体-亚胺正离子催化机理","第三篇-有机化学/1-结构基础与波谱分析.md@1.7=>题-029-2-3-2-聚乙二醇保水原理 ; 第三篇-有机化学/11-反应机理与推断.md@11.30=>题-ZOC-013-康尼查罗反应氘代标记实验 ; 第三篇-有机化学/11-反应机理与推断.md@11.58=>题-有机-中间体-亚胺正离子催化机理"
f7bd1585074362a6849c3ba2ba95ad190a143bd6a3922194d216240964e4e5de,3,1,3,"第三篇-有机化学","题-029-2 | 题-ZOC-013-康尼查罗反应氘代标记实验 | 题-有机-中间体-亚胺正离子催化机理","第三篇-有机化学/1-结构基础与波谱分析.md@1.7=>题-029-2-3-2-聚乙二醇保水原理 ; 第三篇-有机化学/11-反应机理与推断.md@11.30=>题-ZOC-013-康尼查罗反应氘代标记实验 ; 第三篇-有机化学/11-反应机理与推断.md@11.58=>题-有机-中间体-亚胺正离子催化机理"
9aaa0160ae5725c2a05b4589c42923d7e8709359f4a72d993ea03f0828bfdc17,5,1,5,"第三篇-有机化学","题-036b-10 | 题-025-8 | 题-有机-中间体-动力学与热力学产物预测 | 题-029-3 | 题-027-2","第三篇-有机化学/1-结构基础与波谱分析.md@1.10=>题-036b-10-3-HFIP氢键供受体数目 ; 第三篇-有机化学/11-反应机理与推断.md@11.5=>题-025-8-3-中间体B结构 ; 第三篇-有机化学/11-反应机理与推断.md@11.59=>题-有机-中间体-动力学与热力学产物预测 ; 第三篇-有机化学/3-烷烯炔与加成反应.md@3.2=>题-029-3-1-3-金属元素推断 ; 第三篇-有机化学/3-烷烯炔与加成反应.md@3.4=>题-027-2-8-甲烷燃烧体积比"
741bc4e421fc2afd028baedc52b8a50d05f7de06bfddb3fd9f28e76b6991a19e,5,1,5,"第三篇-有机化学","题-036b-10 | 题-025-8 | 题-有机-中间体-动力学与热力学产物预测 | 题-029-3 | 题-027-2","第三篇-有机化学/1-结构基础与波谱分析.md@1.10=>题-036b-10-3-HFIP氢键供受体数目 ; 第三篇-有机化学/11-反应机理与推断.md@11.5=>题-025-8-3-中间体B结构 ; 第三篇-有机化学/11-反应机理与推断.md@11.59=>题-有机-中间体-动力学与热力学产物预测 ; 第三篇-有机化学/3-烷烯炔与加成反应.md@3.2=>题-029-3-1-3-金属元素推断 ; 第三篇-有机化学/3-烷烯炔与加成反应.md@3.4=>题-027-2-8-甲烷燃烧体积比"
5b9d69a46432f89a7a525d69213f8de23546ebca881bdbb82d02a459b5b65989,5,1,5,"第三篇-有机化学","题-036b-10 | 题-025-8 | 题-有机-中间体-动力学与热力学产物预测 | 题-029-3 | 题-027-2","第三篇-有机化学/1-结构基础与波谱分析.md@1.10=>题-036b-10-3-HFIP氢键供受体数目 ; 第三篇-有机化学/11-反应机理与推断.md@11.5=>题-025-8-3-中间体B结构 ; 第三篇-有机化学/11-反应机理与推断.md@11.59=>题-有机-中间体-动力学与热力学产物预测 ; 第三篇-有机化学/3-烷烯炔与加成反应.md@3.2=>题-029-3-1-3-金属元素推断 ; 第三篇-有机化学/3-烷烯炔与加成反应.md@3.4=>题-027-2-8-甲烷燃烧体积比"
7775e67e81d145558d6808c05b051da1398feef7e5a3c580b684ebebd1b82dfb,5,1,5,"第三篇-有机化学","题-036b-10 | 题-025-8 | 题-有机-中间体-动力学与热力学产物预测 | 题-029-3 | 题-027-2","第三篇-有机化学/1-结构基础与波谱分析.md@1.10=>题-036b-10-3-HFIP氢键供受体数目 ; 第三篇-有机化学/11-反应机理与推断.md@11.5=>题-025-8-3-中间体B结构 ; 第三篇-有机化学/11-反应机理与推断.md@11.59=>题-有机-中间体-动力学与热力学产物预测 ; 第三篇-有机化学/3-烷烯炔与加成反应.md@3.2=>题-029-3-1-3-金属元素推断 ; 第三篇-有机化学/3-烷烯炔与加成反应.md@3.4=>题-027-2-8-甲烷燃烧体积比"
8750520264fe0285d295ac4e812bfe00a39059d24737793a1941d4ddff60a253,5,1,5,"第三篇-有机化学","题-036b-10 | 题-025-8 | 题-有机-中间体-动力学与热力学产物预测 | 题-029-3 | 题-027-2","第三篇-有机化学/1-结构基础与波谱分析.md@1.10=>题-036b-10-3-HFIP氢键供受体数目 ; 第三篇-有机化学/11-反应机理与推断.md@11.5=>题-025-8-3-中间体B结构 ; 第三篇-有机化学/11-反应机理与推断.md@11.59=>题-有机-中间体-动力学与热力学产物预测 ; 第三篇-有机化学/3-烷烯炔与加成反应.md@3.2=>题-029-3-1-3-金属元素推断 ; 第三篇-有机化学/3-烷烯炔与加成反应.md@3.4=>题-027-2-8-甲烷燃烧体积比"
acd853dc6c8d2eba7369da98ae23801c4c17fcccb2219b0c8beda0acdf075fa7,5,1,5,"第三篇-有机化学","题-036b-10 | 题-025-8 | 题-有机-中间体-动力学与热力学产物预测 | 题-029-3 | 题-027-2","第三篇-有机化学/1-结构基础与波谱分析.md@1.10=>题-036b-10-3-HFIP氢键供受体数目 ; 第三篇-有机化学/11-反应机理与推断.md@11.5=>题-025-8-3-中间体B结构 ; 第三篇-有机化学/11-反应机理与推断.md@11.59=>题-有机-中间体-动力学与热力学产物预测 ; 第三篇-有机化学/3-烷烯炔与加成反应.md@3.2=>题-029-3-1-3-金属元素推断 ; 第三篇-有机化学/3-烷烯炔与加成反应.md@3.4=>题-027-2-8-甲烷燃烧体积比"
1132f60e9dd4ba7c44388bd75b1dfc22238d5e7747f279f99290a0413f281168,5,1,5,"第三篇-有机化学","题-036b-10 | 题-025-8 | 题-有机-中间体-动力学与热力学产物预测 | 题-029-3 | 题-027-2","第三篇-有机化学/1-结构基础与波谱分析.md@1.10=>题-036b-10-3-HFIP氢键供受体数目 ; 第三篇-有机化学/11-反应机理与推断.md@11.5=>题-025-8-3-中间体B结构 ; 第三篇-有机化学/11-反应机理与推断.md@11.59=>题-有机-中间体-动力学与热力学产物预测 ; 第三篇-有机化学/3-烷烯炔与加成反应.md@3.2=>题-029-3-1-3-金属元素推断 ; 第三篇-有机化学/3-烷烯炔与加成反应.md@3.4=>题-027-2-8-甲烷燃烧体积比"
44640ca2b1e7aba4041572fa1f7b1e70fe6c88e0373a7d049c08e641cb7e4972,5,1,5,"第三篇-有机化学","题-036b-10 | 题-025-8 | 题-有机-中间体-动力学与热力学产物预测 | 题-029-3 | 题-027-2","第三篇-有机化学/1-结构基础与波谱分析.md@1.10=>题-036b-10-3-HFIP氢键供受体数目 ; 第三篇-有机化学/11-反应机理与推断.md@11.5=>题-025-8-3-中间体B结构 ; 第三篇-有机化学/11-反应机理与推断.md@11.59=>题-有机-中间体-动力学与热力学产物预测 ; 第三篇-有机化学/3-烷烯炔与加成反应.md@3.2=>题-029-3-1-3-金属元素推断 ; 第三篇-有机化学/3-烷烯炔与加成反应.md@3.4=>题-027-2-8-甲烷燃烧体积比"
577ab1239d21b0b950f45ae09d3b6523412106ca5a35e65b15a6ce4696ae3432,5,1,5,"第三篇-有机化学","题-036b-10 | 题-025-8 | 题-有机-中间体-动力学与热力学产物预测 | 题-029-3 | 题-027-2","第三篇-有机化学/1-结构基础与波谱分析.md@1.10=>题-036b-10-3-HFIP氢键供受体数目 ; 第三篇-有机化学/11-反应机理与推断.md@11.5=>题-025-8-3-中间体B结构 ; 第三篇-有机化学/11-反应机理与推断.md@11.59=>题-有机-中间体-动力学与热力学产物预测 ; 第三篇-有机化学/3-烷烯炔与加成反应.md@3.2=>题-029-3-1-3-金属元素推断 ; 第三篇-有机化学/3-烷烯炔与加成反应.md@3.4=>题-027-2-8-甲烷燃烧体积比"
86fbd0ce908d25043b9ebe5ca8069e54b77301f04ca5fd976c6e9a4dd1275b42,5,1,5,"第三篇-有机化学","题-036b-10 | 题-025-8 | 题-有机-中间体-动力学与热力学产物预测 | 题-029-3 | 题-027-2","第三篇-有机化学/1-结构基础与波谱分析.md@1.10=>题-036b-10-3-HFIP氢键供受体数目 ; 第三篇-有机化学/11-反应机理与推断.md@11.5=>题-025-8-3-中间体B结构 ; 第三篇-有机化学/11-反应机理与推断.md@11.59=>题-有机-中间体-动力学与热力学产物预测 ; 第三篇-有机化学/3-烷烯炔与加成反应.md@3.2=>题-029-3-1-3-金属元素推断 ; 第三篇-有机化学/3-烷烯炔与加成反应.md@3.4=>题-027-2-8-甲烷燃烧体积比"
fe25026e474149d7cd0c7d0db20203b39bd214433c5696b74c1a763f4a7a1348,5,1,5,"第三篇-有机化学","题-036b-10 | 题-025-8 | 题-有机-中间体-动力学与热力学产物预测 | 题-029-3 | 题-027-2","第三篇-有机化学/1-结构基础与波谱分析.md@1.10=>题-036b-10-3-HFIP氢键供受体数目 ; 第三篇-有机化学/11-反应机理与推断.md@11.5=>题-025-8-3-中间体B结构 ; 第三篇-有机化学/11-反应机理与推断.md@11.59=>题-有机-中间体-动力学与热力学产物预测 ; 第三篇-有机化学/3-烷烯炔与加成反应.md@3.2=>题-029-3-1-3-金属元素推断 ; 第三篇-有机化学/3-烷烯炔与加成反应.md@3.4=>题-027-2-8-甲烷燃烧体积比"
e8aac41e76c9516e72d54fc166f4c2bfcd8b347bccf386558075a008b409f099,5,1,5,"第三篇-有机化学","题-036b-10 | 题-025-8 | 题-有机-中间体-动力学与热力学产物预测 | 题-029-3 | 题-027-2","第三篇-有机化学/1-结构基础与波谱分析.md@1.10=>题-036b-10-3-HFIP氢键供受体数目 ; 第三篇-有机化学/11-反应机理与推断.md@11.5=>题-025-8-3-中间体B结构 ; 第三篇-有机化学/11-反应机理与推断.md@11.59=>题-有机-中间体-动力学与热力学产物预测 ; 第三篇-有机化学/3-烷烯炔与加成反应.md@3.2=>题-029-3-1-3-金属元素推断 ; 第三篇-有机化学/3-烷烯炔与加成反应.md@3.4=>题-027-2-8-甲烷燃烧体积比"
d38b2faa0e957da410c2a30d8fe06ce1e412da5cd7d7d5ff476096c2219e82ff,5,1,5,"第三篇-有机化学","题-036b-10 | 题-025-8 | 题-有机-中间体-动力学与热力学产物预测 | 题-029-3 | 题-027-2","第三篇-有机化学/1-结构基础与波谱分析.md@1.10=>题-036b-10-3-HFIP氢键供受体数目 ; 第三篇-有机化学/11-反应机理与推断.md@11.5=>题-025-8-3-中间体B结构 ; 第三篇-有机化学/11-反应机理与推断.md@11.59=>题-有机-中间体-动力学与热力学产物预测 ; 第三篇-有机化学/3-烷烯炔与加成反应.md@3.2=>题-029-3-1-3-金属元素推断 ; 第三篇-有机化学/3-烷烯炔与加成反应.md@3.4=>题-027-2-8-甲烷燃烧体积比"
