图片哈希,出现文件数,语义块,首现文件,全部源文件,媒体存在
4c96c9b6d0f470f2d7de3c49e5beb6d86104985ba9e7767b51d9a1d5a2f96eb0.jpg,6,题干图示,真题/第27届初赛/无机和结构化学/题-027-1-1-Mn2O3与CO反应.md,真题/第27届初赛/无机和结构化学/题-027-1-1-Mn2O3与CO反应.md:46 | 真题/第27届初赛/无机和结构化学/题-027-1-2-KCN与CuSO4反应.md:42 | 真题/第27届初赛/无机和结构化学/题-027-1-3-Cr2O3与铁氰化钾反应.md:42 | 真题/第27届初赛/无机和结构化学/题-027-1-4-锌氰配合物与甲醛反应.md:42 | 真题/第27届初赛/无机和结构化学/题-027-1-5-Fe(OH)2转化为Fe3O4.md:42 | 真题/第27届初赛/无机和结构化学/题-027-1-6-NaN3制备.md:42,是
4e79e8ddda410b30d3b24fb6138e5654647e562b0622462f1572575b789da353.jpg,6,题干图示,真题/第27届初赛/无机和结构化学/题-027-3-1-硫脲结构式.md,真题/第27届初赛/无机和结构化学/题-027-3-1-硫脲结构式.md:46 | 真题/第27届初赛/无机和结构化学/题-027-3-2-硫脲合成方程式.md:50 | 真题/第27届初赛/无机和结构化学/题-027-3-3-异构体B结构式.md:50 | 真题/第27届初赛/无机和结构化学/题-027-3-4-硫脲溶解金离子方程式.md:44 | 真题/第27届初赛/无机和结构化学/题-027-3-5-配位原子判断.md:42 | 真题/第27届初赛/无机和结构化学/题-027-3-6-氧化偶联产物C.md:50,是
6746d9a92c83be9a668adaa89cf83b23aa663cc8a6c49bfb1b5ccbac979ef664.jpg,6,题干图示,真题/第27届初赛/无机和结构化学/题-027-3-1-硫脲结构式.md,真题/第27届初赛/无机和结构化学/题-027-3-1-硫脲结构式.md:44 | 真题/第27届初赛/无机和结构化学/题-027-3-2-硫脲合成方程式.md:48 | 真题/第27届初赛/无机和结构化学/题-027-3-3-异构体B结构式.md:48 | 真题/第27届初赛/无机和结构化学/题-027-3-4-硫脲溶解金离子方程式.md:42 | 真题/第27届初赛/无机和结构化学/题-027-3-5-配位原子判断.md:40 | 真题/第27届初赛/无机和结构化学/题-027-3-6-氧化偶联产物C.md:48,是
c438d1b47827355c2309b9a8e20b9b8bd69ce7927ec1b728a852631a4cace834.jpg,6,题干图示,真题/第27届初赛/无机和结构化学/题-027-1-1-Mn2O3与CO反应.md,真题/第27届初赛/无机和结构化学/题-027-1-1-Mn2O3与CO反应.md:40 | 真题/第27届初赛/无机和结构化学/题-027-1-2-KCN与CuSO4反应.md:36 | 真题/第27届初赛/无机和结构化学/题-027-1-3-Cr2O3与铁氰化钾反应.md:36 | 真题/第27届初赛/无机和结构化学/题-027-1-4-锌氰配合物与甲醛反应.md:36 | 真题/第27届初赛/无机和结构化学/题-027-1-5-Fe(OH)2转化为Fe3O4.md:36 | 真题/第27届初赛/无机和结构化学/题-027-1-6-NaN3制备.md:36,是
1132f60e9dd4ba7c44388bd75b1dfc22238d5e7747f279f99290a0413f281168.jpg,5,题干图示,真题/第26届初赛/有机化学/题-026-11-1-羟汞化反应产物.md,真题/第26届初赛/有机化学/题-026-11-1-羟汞化反应产物.md:50 | 真题/第26届初赛/有机化学/题-026-11-2-芳香性判断.md:56 | 真题/第26届初赛/有机化学/题-026-11-3-臭氧B名称.md:50 | 真题/第26届初赛/有机化学/题-026-11-4-圈出来自A的氧原子.md:50 | 真题/第26届初赛/有机化学/题-026-11-5-臭氧化产物D结构.md:55,是
2b44af171833f3b1c67f865b58fc87e06bfda4d114d28995f16f3b39485c3755.jpg,5,题干图示,真题/第25届初赛/无机和结构化学/题-025-2-1-乙酰丙酮锰配合物结构.md,真题/第25届初赛/无机和结构化学/题-025-2-1-乙酰丙酮锰配合物结构.md:36 | 真题/第25届初赛/无机和结构化学/题-025-2-2-磁矩计算.md:40 | 真题/第25届初赛/无机和结构化学/题-025-2-3-配合物手性判据.md:40 | 真题/第25届初赛/无机和结构化学/题-025-2-4-离域π键.md:38 | 真题/第25届初赛/无机和结构化学/题-025-2-5-六氨合钴合成机理.md:44,是
44640ca2b1e7aba4041572fa1f7b1e70fe6c88e0373a7d049c08e641cb7e4972.jpg,5,题干图示,真题/第26届初赛/有机化学/题-026-11-1-羟汞化反应产物.md,真题/第26届初赛/有机化学/题-026-11-1-羟汞化反应产物.md:52 | 真题/第26届初赛/有机化学/题-026-11-2-芳香性判断.md:58 | 真题/第26届初赛/有机化学/题-026-11-3-臭氧B名称.md:52 | 真题/第26届初赛/有机化学/题-026-11-4-圈出来自A的氧原子.md:52 | 真题/第26届初赛/有机化学/题-026-11-5-臭氧化产物D结构.md:57,是
4e293826f39fd1fbde0c8bae1b5d6b43439298f7ae5da210010e5ebdc2c4871a.jpg,5,题干图示,真题/第25届初赛/化学原理/题-025-1-1-居里夫人发现元素.md,真题/第25届初赛/化学原理/题-025-1-1-居里夫人发现元素.md:38 | 真题/第25届初赛/化学原理/题-025-1-2-Ti红氧化与CuCl沉淀.md:44 | 真题/第25届初赛/化学原理/题-025-1-5-高铁酸根氧化还原.md:64 | 真题/第25届初赛/无机和结构化学/题-025-1-3-SNF与SNF3结构.md:38 | 真题/第25届初赛/无机和结构化学/题-025-1-4-铝镁有机金属结构.md:38,是
577ab1239d21b0b950f45ae09d3b6523412106ca5a35e65b15a6ce4696ae3432.jpg,5,题干图示,真题/第26届初赛/有机化学/题-026-11-1-羟汞化反应产物.md,真题/第26届初赛/有机化学/题-026-11-1-羟汞化反应产物.md:54 | 真题/第26届初赛/有机化学/题-026-11-2-芳香性判断.md:60 | 真题/第26届初赛/有机化学/题-026-11-3-臭氧B名称.md:54 | 真题/第26届初赛/有机化学/题-026-11-4-圈出来自A的氧原子.md:54 | 真题/第26届初赛/有机化学/题-026-11-5-臭氧化产物D结构.md:59,是
5b9d69a46432f89a7a525d69213f8de23546ebca881bdbb82d02a459b5b65989.jpg,5,题干图示,真题/第26届初赛/有机化学/题-026-11-1-羟汞化反应产物.md,真题/第26届初赛/有机化学/题-026-11-1-羟汞化反应产物.md:42 | 真题/第26届初赛/有机化学/题-026-11-2-芳香性判断.md:48 | 真题/第26届初赛/有机化学/题-026-11-3-臭氧B名称.md:42 | 真题/第26届初赛/有机化学/题-026-11-4-圈出来自A的氧原子.md:42 | 真题/第26届初赛/有机化学/题-026-11-5-臭氧化产物D结构.md:47,是
71b570e71e626603246d12d48cb0b7b265fed247a9708eea93aab17caa1687a3.jpg,5,题干图示,真题/第26届初赛/有机化学/题-026-11-1-羟汞化反应产物.md,真题/第26届初赛/有机化学/题-026-11-1-羟汞化反应产物.md:64 | 真题/第26届初赛/有机化学/题-026-11-2-芳香性判断.md:70 | 真题/第26届初赛/有机化学/题-026-11-3-臭氧B名称.md:64 | 真题/第26届初赛/有机化学/题-026-11-4-圈出来自A的氧原子.md:64 | 真题/第26届初赛/有机化学/题-026-11-5-臭氧化产物D结构.md:69,是
741bc4e421fc2afd028baedc52b8a50d05f7de06bfddb3fd9f28e76b6991a19e.jpg,5,题干图示,真题/第26届初赛/有机化学/题-026-11-1-羟汞化反应产物.md,真题/第26届初赛/有机化学/题-026-11-1-羟汞化反应产物.md:40 | 真题/第26届初赛/有机化学/题-026-11-2-芳香性判断.md:46 | 真题/第26届初赛/有机化学/题-026-11-3-臭氧B名称.md:40 | 真题/第26届初赛/有机化学/题-026-11-4-圈出来自A的氧原子.md:40 | 真题/第26届初赛/有机化学/题-026-11-5-臭氧化产物D结构.md:45,是
7775e67e81d145558d6808c05b051da1398feef7e5a3c580b684ebebd1b82dfb.jpg,5,题干图示,真题/第26届初赛/有机化学/题-026-11-1-羟汞化反应产物.md,真题/第26届初赛/有机化学/题-026-11-1-羟汞化反应产物.md:44 | 真题/第26届初赛/有机化学/题-026-11-2-芳香性判断.md:50 | 真题/第26届初赛/有机化学/题-026-11-3-臭氧B名称.md:44 | 真题/第26届初赛/有机化学/题-026-11-4-圈出来自A的氧原子.md:44 | 真题/第26届初赛/有机化学/题-026-11-5-臭氧化产物D结构.md:49,是
86fbd0ce908d25043b9ebe5ca8069e54b77301f04ca5fd976c6e9a4dd1275b42.jpg,5,题干图示,真题/第26届初赛/有机化学/题-026-11-1-羟汞化反应产物.md,真题/第26届初赛/有机化学/题-026-11-1-羟汞化反应产物.md:56 | 真题/第26届初赛/有机化学/题-026-11-2-芳香性判断.md:62 | 真题/第26届初赛/有机化学/题-026-11-3-臭氧B名称.md:56 | 真题/第26届初赛/有机化学/题-026-11-4-圈出来自A的氧原子.md:56 | 真题/第26届初赛/有机化学/题-026-11-5-臭氧化产物D结构.md:61,是
8750520264fe0285d295ac4e812bfe00a39059d24737793a1941d4ddff60a253.jpg,5,题干图示,真题/第26届初赛/有机化学/题-026-11-1-羟汞化反应产物.md,真题/第26届初赛/有机化学/题-026-11-1-羟汞化反应产物.md:46 | 真题/第26届初赛/有机化学/题-026-11-2-芳香性判断.md:52 | 真题/第26届初赛/有机化学/题-026-11-3-臭氧B名称.md:46 | 真题/第26届初赛/有机化学/题-026-11-4-圈出来自A的氧原子.md:46 | 真题/第26届初赛/有机化学/题-026-11-5-臭氧化产物D结构.md:51,是
982bd12d6e0a9f99a219a5ba80fd100dcab62a65f38d109cc284602588877067.jpg,5,题干图示,真题/第26届初赛/化学原理/题-026-8-1-碳酸分布系数计算.md,真题/第26届初赛/化学原理/题-026-8-1-碳酸分布系数计算.md:44 | 真题/第26届初赛/化学原理/题-026-8-2-铀物种转化方程.md:50 | 真题/第26届初赛/化学原理/题-026-8-3-电极反应与斜率.md:50 | 真题/第26届初赛/化学原理/题-026-8-4-UCl3加入pH4缓冲液.md:40 | 真题/第26届初赛/化学原理/题-026-8-5-铀物种共存判断.md:48,是
9aaa0160ae5725c2a05b4589c42923d7e8709359f4a72d993ea03f0828bfdc17.jpg,5,题干图示,真题/第26届初赛/有机化学/题-026-11-1-羟汞化反应产物.md,真题/第26届初赛/有机化学/题-026-11-1-羟汞化反应产物.md:38 | 真题/第26届初赛/有机化学/题-026-11-2-芳香性判断.md:44 | 真题/第26届初赛/有机化学/题-026-11-3-臭氧B名称.md:38 | 真题/第26届初赛/有机化学/题-026-11-4-圈出来自A的氧原子.md:38 | 真题/第26届初赛/有机化学/题-026-11-5-臭氧化产物D结构.md:43,是
a1dadc9283c893c7aa9ffe9de768fe31ec374cf1391dac1c47cc154ac316c1a3.jpg,5,题干图示,真题/第26届初赛/有机化学/题-026-11-1-羟汞化反应产物.md,真题/第26届初赛/有机化学/题-026-11-1-羟汞化反应产物.md:66 | 真题/第26届初赛/有机化学/题-026-11-2-芳香性判断.md:72 | 真题/第26届初赛/有机化学/题-026-11-3-臭氧B名称.md:66 | 真题/第26届初赛/有机化学/题-026-11-4-圈出来自A的氧原子.md:66 | 真题/第26届初赛/有机化学/题-026-11-5-臭氧化产物D结构.md:71,是
acd853dc6c8d2eba7369da98ae23801c4c17fcccb2219b0c8beda0acdf075fa7.jpg,5,题干图示,真题/第26届初赛/有机化学/题-026-11-1-羟汞化反应产物.md,真题/第26届初赛/有机化学/题-026-11-1-羟汞化反应产物.md:48 | 真题/第26届初赛/有机化学/题-026-11-2-芳香性判断.md:54 | 真题/第26届初赛/有机化学/题-026-11-3-臭氧B名称.md:48 | 真题/第26届初赛/有机化学/题-026-11-4-圈出来自A的氧原子.md:48 | 真题/第26届初赛/有机化学/题-026-11-5-臭氧化产物D结构.md:53,是
d38b2faa0e957da410c2a30d8fe06ce1e412da5cd7d7d5ff476096c2219e82ff.jpg,5,题干图示,真题/第26届初赛/有机化学/题-026-11-1-羟汞化反应产物.md,真题/第26届初赛/有机化学/题-026-11-1-羟汞化反应产物.md:62 | 真题/第26届初赛/有机化学/题-026-11-2-芳香性判断.md:68 | 真题/第26届初赛/有机化学/题-026-11-3-臭氧B名称.md:62 | 真题/第26届初赛/有机化学/题-026-11-4-圈出来自A的氧原子.md:62 | 真题/第26届初赛/有机化学/题-026-11-5-臭氧化产物D结构.md:67,是
df8d66d087567b7be1c8cece58c9b5e1b662a94a51643513b283a8d0515ab38a.jpg,5,题干图示,真题/第25届初赛/化学原理/题-025-1-1-居里夫人发现元素.md,真题/第25届初赛/化学原理/题-025-1-1-居里夫人发现元素.md:42 | 真题/第25届初赛/化学原理/题-025-1-2-Ti红氧化与CuCl沉淀.md:48 | 真题/第25届初赛/化学原理/题-025-1-5-高铁酸根氧化还原.md:68 | 真题/第25届初赛/无机和结构化学/题-025-1-3-SNF与SNF3结构.md:42 | 真题/第25届初赛/无机和结构化学/题-025-1-4-铝镁有机金属结构.md:42,是
e8aac41e76c9516e72d54fc166f4c2bfcd8b347bccf386558075a008b409f099.jpg,5,题干图示,真题/第26届初赛/有机化学/题-026-11-1-羟汞化反应产物.md,真题/第26届初赛/有机化学/题-026-11-1-羟汞化反应产物.md:60 | 真题/第26届初赛/有机化学/题-026-11-2-芳香性判断.md:66 | 真题/第26届初赛/有机化学/题-026-11-3-臭氧B名称.md:60 | 真题/第26届初赛/有机化学/题-026-11-4-圈出来自A的氧原子.md:60 | 真题/第26届初赛/有机化学/题-026-11-5-臭氧化产物D结构.md:65,是
ed2c9eaee823880bf399218d07b9596fecba1fc5a60c47719372d5208e7eaacc.jpg,5,题干图示,真题/第25届初赛/化学原理/题-025-1-1-居里夫人发现元素.md,真题/第25届初赛/化学原理/题-025-1-1-居里夫人发现元素.md:40 | 真题/第25届初赛/化学原理/题-025-1-2-Ti红氧化与CuCl沉淀.md:46 | 真题/第25届初赛/化学原理/题-025-1-5-高铁酸根氧化还原.md:66 | 真题/第25届初赛/无机和结构化学/题-025-1-3-SNF与SNF3结构.md:40 | 真题/第25届初赛/无机和结构化学/题-025-1-4-铝镁有机金属结构.md:40,是
fa8391a7866700de5d322b244563d8934e6bf7871299058b2cf422d5c3da3ed7.jpg,5,题干图示,真题/第25届初赛/无机和结构化学/题-025-2-1-乙酰丙酮锰配合物结构.md,真题/第25届初赛/无机和结构化学/题-025-2-1-乙酰丙酮锰配合物结构.md:38 | 真题/第25届初赛/无机和结构化学/题-025-2-2-磁矩计算.md:42 | 真题/第25届初赛/无机和结构化学/题-025-2-3-配合物手性判据.md:42 | 真题/第25届初赛/无机和结构化学/题-025-2-4-离域π键.md:40 | 真题/第25届初赛/无机和结构化学/题-025-2-5-六氨合钴合成机理.md:46,是
fb2e95a760791ce194ef0091e6e4649c84b603c1a6e6cdcf4e3739ba65e3a0de.jpg,5,题干图示,真题/第25届初赛/无机和结构化学/题-025-5-1-Wilkinson催化剂结构.md,真题/第25届初赛/无机和结构化学/题-025-5-1-Wilkinson催化剂结构.md:40 | 真题/第25届初赛/无机和结构化学/题-025-5-2-催化中间体D结构.md:38 | 真题/第25届初赛/无机和结构化学/题-025-5-3-配合物氧化态.md:44 | 真题/第25届初赛/无机和结构化学/题-025-5-4-杂化轨道类型.md:43 | 真题/第25届初赛/无机和结构化学/题-025-5-5-顺磁性抗磁性判断.md:38,是
fe25026e474149d7cd0c7d0db20203b39bd214433c5696b74c1a763f4a7a1348.jpg,5,题干图示,真题/第26届初赛/有机化学/题-026-11-1-羟汞化反应产物.md,真题/第26届初赛/有机化学/题-026-11-1-羟汞化反应产物.md:58 | 真题/第26届初赛/有机化学/题-026-11-2-芳香性判断.md:64 | 真题/第26届初赛/有机化学/题-026-11-3-臭氧B名称.md:58 | 真题/第26届初赛/有机化学/题-026-11-4-圈出来自A的氧原子.md:58 | 真题/第26届初赛/有机化学/题-026-11-5-臭氧化产物D结构.md:63,是
06c3f726f479af97ff05cc83b3b6e8d922309c45a7d461fb9e46e5fef1863034.jpg,4,题干图示,真题/第27届初赛/有机化学/题-027-8-1-HBr加成中间体与产物.md,"真题/第27届初赛/有机化学/题-027-8-1-HBr加成中间体与产物.md:42 | 真题/第27届初赛/有机化学/题-027-8-2-烷基铜锂1,4-加成.md:40 | 真题/第27届初赛/有机化学/题-027-8-3-CH3SeCl与烯烃反应.md:46 | 真题/第27届初赛/有机化学/题-027-8-4-炔与溴水加成.md:48",是
0a43a544f137d7908fc4bc6bd3e49f2c6097fed694c9bb37dc34f42553a4a472.jpg,4,题干图示,真题/第26届初赛/有机化学/题-026-9-1-Knoevenagel亲核试剂.md,真题/第26届初赛/有机化学/题-026-9-1-Knoevenagel亲核试剂.md:42 | 真题/第26届初赛/有机化学/题-026-9-2-六氢吡啶催化作用.md:45 | 真题/第26届初赛/有机化学/题-026-9-3-gabapentin前体合成.md:47 | 真题/第26届初赛/有机化学/题-026-9-4-Michael加成串联反应.md:46,是
0e99bcd740e68bbd0ad570c16a4b21a4f1a1c9453e4cca76f712b88ee95eed09.jpg,4,题干图示,真题/第27届初赛/有机化学/题-027-8-1-HBr加成中间体与产物.md,"真题/第27届初赛/有机化学/题-027-8-1-HBr加成中间体与产物.md:44 | 真题/第27届初赛/有机化学/题-027-8-2-烷基铜锂1,4-加成.md:42 | 真题/第27届初赛/有机化学/题-027-8-3-CH3SeCl与烯烃反应.md:48 | 真题/第27届初赛/有机化学/题-027-8-4-炔与溴水加成.md:50",是
1938f87046d5c2efb3809a1f4be6872a1b5f80a393f63584463c6a59f3ea0dec.jpg,4,题干图示,真题/第25届初赛/无机和结构化学/题-025-7-1-金刚石晶胞键连.md,真题/第25届初赛/无机和结构化学/题-025-7-1-金刚石晶胞键连.md:42 | 真题/第25届初赛/无机和结构化学/题-025-7-2-立方与六方金刚石对比.md:44 | 真题/第25届初赛/无机和结构化学/题-025-7-3-六方ZnS晶胞框选.md:46 | 真题/第25届初赛/无机和结构化学/题-025-7-4-金刚石结构基元.md:51,是
1c77707c74523022138e4115885aadf37f81e1c266556e5797513a725b92b265.jpg,4,题干图示,真题/第25届初赛/有机化学/题-025-9-1-有机推断结构式.md,真题/第25届初赛/有机化学/题-025-9-1-有机推断结构式.md:56 | 真题/第25届初赛/有机化学/题-025-9-2-异构体类型判断.md:52 | 真题/第25届初赛/有机化学/题-025-9-3-A自发转化为BC原因.md:50 | 真题/第25届初赛/有机化学/题-025-9-4-旋光异构体手性碳.md:50,是
