源文件,行号,图片哈希,语义块,块标题,答案区,跨题重复,出现文件数,上下文摘要,核验结论,备注
真题/第25届初赛/无机和结构化学/题-025-1-3-SNF与SNF3结构.md,42,df8d66d087567b7be1c8cece58c9b5e1b662a94a51643513b283a8d0515ab38a.jpg,题干图示,题目图示与结构参考,是,是,5,![[df8d66d087567b7be1c8cece58c9b5e1b662a94a51643513b283a8d0515ab38a.jpg]],✅保留图示,含有铝(Al)和镁(Mg)的多核金属有机配合物分子结构，配体为甲基(Me)，具有桥接结构。
真题/第25届初赛/无机和结构化学/题-025-1-4-铝镁有机金属结构.md,38,4e293826f39fd1fbde0c8bae1b5d6b43439298f7ae5da210010e5ebdc2c4871a.jpg,题干图示,题目图示与结构参考,是,是,5,![[4e293826f39fd1fbde0c8bae1b5d6b43439298f7ae5da210010e5ebdc2c4871a.jpg]],✅保留图示,分子结构：A为FSN，B为F3SN的立体结构
真题/第25届初赛/无机和结构化学/题-025-1-4-铝镁有机金属结构.md,40,ed2c9eaee823880bf399218d07b9596fecba1fc5a60c47719372d5208e7eaacc.jpg,题干图示,题目图示与结构参考,是,是,5,![[ed2c9eaee823880bf399218d07b9596fecba1fc5a60c47719372d5208e7eaacc.jpg]],✅保留图示,一个含两个铝原子的双核金属有机化合物结构，带有四个丙基配体和两个桥接氢原子。
真题/第25届初赛/无机和结构化学/题-025-1-4-铝镁有机金属结构.md,42,df8d66d087567b7be1c8cece58c9b5e1b662a94a51643513b283a8d0515ab38a.jpg,题干图示,题目图示与结构参考,是,是,5,![[df8d66d087567b7be1c8cece58c9b5e1b662a94a51643513b283a8d0515ab38a.jpg]],✅保留图示,含有铝(Al)和镁(Mg)的多核金属有机配合物分子结构，配体为甲基(Me)，具有桥接结构。
真题/第25届初赛/无机和结构化学/题-025-2-1-乙酰丙酮锰配合物结构.md,36,2b44af171833f3b1c67f865b58fc87e06bfda4d114d28995f16f3b39485c3755.jpg,题干图示,题目图示与结构参考,是,是,5,![[2b44af171833f3b1c67f865b58fc87e06bfda4d114d28995f16f3b39485c3755.jpg]],✅保留图示,展示了一对金属配合物的对映异构体简图。中心金属M与六个氧配位，其中相邻的氧原子之间有弧线连接表示双齿配体，左右两侧为手性镜像关系。
真题/第25届初赛/无机和结构化学/题-025-2-1-乙酰丙酮锰配合物结构.md,38,fa8391a7866700de5d322b244563d8934e6bf7871299058b2cf422d5c3da3ed7.jpg,题干图示,题目图示与结构参考,是,是,5,![[fa8391a7866700de5d322b244563d8934e6bf7871299058b2cf422d5c3da3ed7.jpg]],✅保留图示,含有环状或离域共轭体系的碳负离子结构式，带有氧原子和虚线表示的离域键及负电荷。
真题/第25届初赛/无机和结构化学/题-025-2-2-磁矩计算.md,40,2b44af171833f3b1c67f865b58fc87e06bfda4d114d28995f16f3b39485c3755.jpg,题干图示,题目图示与结构参考,是,是,5,![[2b44af171833f3b1c67f865b58fc87e06bfda4d114d28995f16f3b39485c3755.jpg]],✅保留图示,展示了一对金属配合物的对映异构体简图。中心金属M与六个氧配位，其中相邻的氧原子之间有弧线连接表示双齿配体，左右两侧为手性镜像关系。
真题/第25届初赛/无机和结构化学/题-025-2-2-磁矩计算.md,42,fa8391a7866700de5d322b244563d8934e6bf7871299058b2cf422d5c3da3ed7.jpg,题干图示,题目图示与结构参考,是,是,5,![[fa8391a7866700de5d322b244563d8934e6bf7871299058b2cf422d5c3da3ed7.jpg]],✅保留图示,含有环状或离域共轭体系的碳负离子结构式，带有氧原子和虚线表示的离域键及负电荷。
真题/第25届初赛/无机和结构化学/题-025-2-3-配合物手性判据.md,40,2b44af171833f3b1c67f865b58fc87e06bfda4d114d28995f16f3b39485c3755.jpg,题干图示,题目图示与结构参考,是,是,5,![[2b44af171833f3b1c67f865b58fc87e06bfda4d114d28995f16f3b39485c3755.jpg]],✅保留图示,展示了一对金属配合物的对映异构体简图。中心金属M与六个氧配位，其中相邻的氧原子之间有弧线连接表示双齿配体，左右两侧为手性镜像关系。
真题/第25届初赛/无机和结构化学/题-025-2-3-配合物手性判据.md,42,fa8391a7866700de5d322b244563d8934e6bf7871299058b2cf422d5c3da3ed7.jpg,题干图示,题目图示与结构参考,是,是,5,![[fa8391a7866700de5d322b244563d8934e6bf7871299058b2cf422d5c3da3ed7.jpg]],✅保留图示,含有环状或离域共轭体系的碳负离子结构式，带有氧原子和虚线表示的离域键及负电荷。
真题/第25届初赛/无机和结构化学/题-025-2-4-离域π键.md,38,2b44af171833f3b1c67f865b58fc87e06bfda4d114d28995f16f3b39485c3755.jpg,题干图示,题目图示与结构参考,是,是,5,![[2b44af171833f3b1c67f865b58fc87e06bfda4d114d28995f16f3b39485c3755.jpg]],✅保留图示,展示了一对金属配合物的对映异构体简图。中心金属M与六个氧配位，其中相邻的氧原子之间有弧线连接表示双齿配体，左右两侧为手性镜像关系。
真题/第25届初赛/无机和结构化学/题-025-2-4-离域π键.md,40,fa8391a7866700de5d322b244563d8934e6bf7871299058b2cf422d5c3da3ed7.jpg,题干图示,题目图示与结构参考,是,是,5,![[fa8391a7866700de5d322b244563d8934e6bf7871299058b2cf422d5c3da3ed7.jpg]],✅保留图示,含有环状或离域共轭体系的碳负离子结构式，带有氧原子和虚线表示的离域键及负电荷。
真题/第25届初赛/无机和结构化学/题-025-2-5-六氨合钴合成机理.md,44,2b44af171833f3b1c67f865b58fc87e06bfda4d114d28995f16f3b39485c3755.jpg,题干图示,题目图示与结构参考,是,是,5,![[2b44af171833f3b1c67f865b58fc87e06bfda4d114d28995f16f3b39485c3755.jpg]],✅保留图示,展示了一对金属配合物的对映异构体简图。中心金属M与六个氧配位，其中相邻的氧原子之间有弧线连接表示双齿配体，左右两侧为手性镜像关系。
真题/第25届初赛/无机和结构化学/题-025-2-5-六氨合钴合成机理.md,46,fa8391a7866700de5d322b244563d8934e6bf7871299058b2cf422d5c3da3ed7.jpg,题干图示,题目图示与结构参考,是,是,5,![[fa8391a7866700de5d322b244563d8934e6bf7871299058b2cf422d5c3da3ed7.jpg]],✅保留图示,含有环状或离域共轭体系的碳负离子结构式，带有氧原子和虚线表示的离域键及负电荷。
真题/第25届初赛/无机和结构化学/题-025-5-1-Wilkinson催化剂结构.md,40,fb2e95a760791ce194ef0091e6e4649c84b603c1a6e6cdcf4e3739ba65e3a0de.jpg,题干图示,题目图示与结构参考,是,是,5,![[fb2e95a760791ce194ef0091e6e4649c84b603c1a6e6cdcf4e3739ba65e3a0de.jpg]],✅保留图示,金属有机催化循环图示，含有铑(Rh)配合物的催化循环(包括16e和14e的中间体A至E)，展示了丙烯加氢过程。
真题/第25届初赛/无机和结构化学/题-025-5-2-催化中间体D结构.md,38,fb2e95a760791ce194ef0091e6e4649c84b603c1a6e6cdcf4e3739ba65e3a0de.jpg,题干图示,题目图示与结构参考,是,是,5,![[fb2e95a760791ce194ef0091e6e4649c84b603c1a6e6cdcf4e3739ba65e3a0de.jpg]],✅保留图示,金属有机催化循环图示，含有铑(Rh)配合物的催化循环(包括16e和14e的中间体A至E)，展示了丙烯加氢过程。
真题/第25届初赛/无机和结构化学/题-025-5-3-配合物氧化态.md,44,fb2e95a760791ce194ef0091e6e4649c84b603c1a6e6cdcf4e3739ba65e3a0de.jpg,题干图示,题目图示与结构参考,是,是,5,![[fb2e95a760791ce194ef0091e6e4649c84b603c1a6e6cdcf4e3739ba65e3a0de.jpg]],✅保留图示,金属有机催化循环图示，含有铑(Rh)配合物的催化循环(包括16e和14e的中间体A至E)，展示了丙烯加氢过程。
真题/第25届初赛/无机和结构化学/题-025-5-4-杂化轨道类型.md,43,fb2e95a760791ce194ef0091e6e4649c84b603c1a6e6cdcf4e3739ba65e3a0de.jpg,题干图示,题目图示与结构参考,是,是,5,![[fb2e95a760791ce194ef0091e6e4649c84b603c1a6e6cdcf4e3739ba65e3a0de.jpg]],✅保留图示,金属有机催化循环图示，含有铑(Rh)配合物的催化循环(包括16e和14e的中间体A至E)，展示了丙烯加氢过程。
真题/第25届初赛/无机和结构化学/题-025-5-5-顺磁性抗磁性判断.md,38,fb2e95a760791ce194ef0091e6e4649c84b603c1a6e6cdcf4e3739ba65e3a0de.jpg,题干图示,题目图示与结构参考,是,是,5,![[fb2e95a760791ce194ef0091e6e4649c84b603c1a6e6cdcf4e3739ba65e3a0de.jpg]],✅保留图示,金属有机催化循环图示，含有铑(Rh)配合物的催化循环(包括16e和14e的中间体A至E)，展示了丙烯加氢过程。
真题/第25届初赛/无机和结构化学/题-025-7-1-金刚石晶胞键连.md,36,94ac035d4be620acf64d716d571db1184abdebd8e456898b17f7dc03b0c8ece4.jpg,题干图示,题目图示与结构参考,是,是,4,![[94ac035d4be620acf64d716d571db1184abdebd8e456898b17f7dc03b0c8ece4.jpg]],,
真题/第25届初赛/无机和结构化学/题-025-7-1-金刚石晶胞键连.md,38,f62d8450f931d0cccaf13003aef328057f462ef68269760165e60c464c8975f1.jpg,题干图示,题目图示与结构参考,是,是,4,![[f62d8450f931d0cccaf13003aef328057f462ef68269760165e60c464c8975f1.jpg]],✅保留图示,晶体结构示意图，可能表示石墨或类似层状结构的六边形网格排布，所有原子以黑球表示。
真题/第25届初赛/无机和结构化学/题-025-7-1-金刚石晶胞键连.md,40,c62bed1f1c644275d18f18fc53c4abdf893a2c7060f22400c60970b5e1dc1968.jpg,题干图示,题目图示与结构参考,是,是,4,![[c62bed1f1c644275d18f18fc53c4abdf893a2c7060f22400c60970b5e1dc1968.jpg]],✅保留图示,三维层状晶体结构模型图，展示了原子组成的六元环及其层间的堆积方式
真题/第25届初赛/无机和结构化学/题-025-7-1-金刚石晶胞键连.md,42,1938f87046d5c2efb3809a1f4be6872a1b5f80a393f63584463c6a59f3ea0dec.jpg,题干图示,题目图示与结构参考,是,是,4,![[1938f87046d5c2efb3809a1f4be6872a1b5f80a393f63584463c6a59f3ea0dec.jpg]],✅保留图示,这是一个ZnS（闪锌矿结构）的晶胞结构示意图。图中有空心小圆代表Zn原子，空心大圆代表S原子，展示了它们在晶格中的三维空间排列情况，并带有图例说明。
真题/第25届初赛/无机和结构化学/题-025-7-1-金刚石晶胞键连.md,44,c29db43a837a1956096b05dcd08a238403c431db01dc7f286c35f53aa47f4125.jpg,题干图示,题目图示与结构参考,是,是,4,![[c29db43a837a1956096b05dcd08a238403c431db01dc7f286c35f53aa47f4125.jpg]],✅保留图示,晶胞的立体结构模型图，展示了原子的四面体配位和三维空间排布方式
真题/第25届初赛/无机和结构化学/题-025-7-1-金刚石晶胞键连.md,46,f6f37f3513bbaf90fb72185592fce2822ad68f7782bf6e2ec4ea203b31ce1b32.jpg,题干图示,题目图示与结构参考,是,是,4,![[f6f37f3513bbaf90fb72185592fce2822ad68f7782bf6e2ec4ea203b31ce1b32.jpg]],✅保留图示,晶体结构示意图，包含黑球表示的六边形层状网格以及下层的白球，展示多层排布。
真题/第25届初赛/无机和结构化学/题-025-7-1-金刚石晶胞键连.md,48,8f937fb19745bdc7a336657997785a44054901819aea41aa3afa2f6c91814235.jpg,题干图示,题目图示与结构参考,是,是,4,![[8f937fb19745bdc7a336657997785a44054901819aea41aa3afa2f6c91814235.jpg]],,
真题/第25届初赛/无机和结构化学/题-025-7-1-金刚石晶胞键连.md,50,855b731bbbddf8b5c1c500a69726eb06b70ceec50b970bca38e2b921232957df.jpg,题干图示,题目图示与结构参考,是,是,4,![[855b731bbbddf8b5c1c500a69726eb06b70ceec50b970bca38e2b921232957df.jpg]],,
真题/第25届初赛/无机和结构化学/题-025-7-2-立方与六方金刚石对比.md,38,94ac035d4be620acf64d716d571db1184abdebd8e456898b17f7dc03b0c8ece4.jpg,题干图示,题目图示与结构参考,是,是,4,![[94ac035d4be620acf64d716d571db1184abdebd8e456898b17f7dc03b0c8ece4.jpg]],,
真题/第25届初赛/无机和结构化学/题-025-7-2-立方与六方金刚石对比.md,40,f62d8450f931d0cccaf13003aef328057f462ef68269760165e60c464c8975f1.jpg,题干图示,题目图示与结构参考,是,是,4,![[f62d8450f931d0cccaf13003aef328057f462ef68269760165e60c464c8975f1.jpg]],✅保留图示,晶体结构示意图，可能表示石墨或类似层状结构的六边形网格排布，所有原子以黑球表示。
真题/第25届初赛/无机和结构化学/题-025-7-2-立方与六方金刚石对比.md,42,c62bed1f1c644275d18f18fc53c4abdf893a2c7060f22400c60970b5e1dc1968.jpg,题干图示,题目图示与结构参考,是,是,4,![[c62bed1f1c644275d18f18fc53c4abdf893a2c7060f22400c60970b5e1dc1968.jpg]],✅保留图示,三维层状晶体结构模型图，展示了原子组成的六元环及其层间的堆积方式
真题/第25届初赛/无机和结构化学/题-025-7-2-立方与六方金刚石对比.md,44,1938f87046d5c2efb3809a1f4be6872a1b5f80a393f63584463c6a59f3ea0dec.jpg,题干图示,题目图示与结构参考,是,是,4,![[1938f87046d5c2efb3809a1f4be6872a1b5f80a393f63584463c6a59f3ea0dec.jpg]],✅保留图示,这是一个ZnS（闪锌矿结构）的晶胞结构示意图。图中有空心小圆代表Zn原子，空心大圆代表S原子，展示了它们在晶格中的三维空间排列情况，并带有图例说明。
真题/第25届初赛/无机和结构化学/题-025-7-2-立方与六方金刚石对比.md,46,c29db43a837a1956096b05dcd08a238403c431db01dc7f286c35f53aa47f4125.jpg,题干图示,题目图示与结构参考,是,是,4,![[c29db43a837a1956096b05dcd08a238403c431db01dc7f286c35f53aa47f4125.jpg]],✅保留图示,晶胞的立体结构模型图，展示了原子的四面体配位和三维空间排布方式
真题/第25届初赛/无机和结构化学/题-025-7-2-立方与六方金刚石对比.md,48,f6f37f3513bbaf90fb72185592fce2822ad68f7782bf6e2ec4ea203b31ce1b32.jpg,题干图示,题目图示与结构参考,是,是,4,![[f6f37f3513bbaf90fb72185592fce2822ad68f7782bf6e2ec4ea203b31ce1b32.jpg]],✅保留图示,晶体结构示意图，包含黑球表示的六边形层状网格以及下层的白球，展示多层排布。
真题/第25届初赛/无机和结构化学/题-025-7-2-立方与六方金刚石对比.md,50,8f937fb19745bdc7a336657997785a44054901819aea41aa3afa2f6c91814235.jpg,题干图示,题目图示与结构参考,是,是,4,![[8f937fb19745bdc7a336657997785a44054901819aea41aa3afa2f6c91814235.jpg]],,
真题/第25届初赛/无机和结构化学/题-025-7-2-立方与六方金刚石对比.md,52,855b731bbbddf8b5c1c500a69726eb06b70ceec50b970bca38e2b921232957df.jpg,题干图示,题目图示与结构参考,是,是,4,![[855b731bbbddf8b5c1c500a69726eb06b70ceec50b970bca38e2b921232957df.jpg]],,
真题/第25届初赛/无机和结构化学/题-025-7-3-六方ZnS晶胞框选.md,40,94ac035d4be620acf64d716d571db1184abdebd8e456898b17f7dc03b0c8ece4.jpg,题干图示,题目图示与结构参考,是,是,4,![[94ac035d4be620acf64d716d571db1184abdebd8e456898b17f7dc03b0c8ece4.jpg]],,
真题/第25届初赛/无机和结构化学/题-025-7-3-六方ZnS晶胞框选.md,42,f62d8450f931d0cccaf13003aef328057f462ef68269760165e60c464c8975f1.jpg,题干图示,题目图示与结构参考,是,是,4,![[f62d8450f931d0cccaf13003aef328057f462ef68269760165e60c464c8975f1.jpg]],✅保留图示,晶体结构示意图，可能表示石墨或类似层状结构的六边形网格排布，所有原子以黑球表示。
真题/第25届初赛/无机和结构化学/题-025-7-3-六方ZnS晶胞框选.md,44,c62bed1f1c644275d18f18fc53c4abdf893a2c7060f22400c60970b5e1dc1968.jpg,题干图示,题目图示与结构参考,是,是,4,![[c62bed1f1c644275d18f18fc53c4abdf893a2c7060f22400c60970b5e1dc1968.jpg]],✅保留图示,三维层状晶体结构模型图，展示了原子组成的六元环及其层间的堆积方式
真题/第25届初赛/无机和结构化学/题-025-7-3-六方ZnS晶胞框选.md,46,1938f87046d5c2efb3809a1f4be6872a1b5f80a393f63584463c6a59f3ea0dec.jpg,题干图示,题目图示与结构参考,是,是,4,![[1938f87046d5c2efb3809a1f4be6872a1b5f80a393f63584463c6a59f3ea0dec.jpg]],✅保留图示,这是一个ZnS（闪锌矿结构）的晶胞结构示意图。图中有空心小圆代表Zn原子，空心大圆代表S原子，展示了它们在晶格中的三维空间排列情况，并带有图例说明。
真题/第25届初赛/无机和结构化学/题-025-7-3-六方ZnS晶胞框选.md,48,c29db43a837a1956096b05dcd08a238403c431db01dc7f286c35f53aa47f4125.jpg,题干图示,题目图示与结构参考,是,是,4,![[c29db43a837a1956096b05dcd08a238403c431db01dc7f286c35f53aa47f4125.jpg]],✅保留图示,晶胞的立体结构模型图，展示了原子的四面体配位和三维空间排布方式
真题/第25届初赛/无机和结构化学/题-025-7-3-六方ZnS晶胞框选.md,50,f6f37f3513bbaf90fb72185592fce2822ad68f7782bf6e2ec4ea203b31ce1b32.jpg,题干图示,题目图示与结构参考,是,是,4,![[f6f37f3513bbaf90fb72185592fce2822ad68f7782bf6e2ec4ea203b31ce1b32.jpg]],✅保留图示,晶体结构示意图，包含黑球表示的六边形层状网格以及下层的白球，展示多层排布。
真题/第25届初赛/无机和结构化学/题-025-7-3-六方ZnS晶胞框选.md,52,8f937fb19745bdc7a336657997785a44054901819aea41aa3afa2f6c91814235.jpg,题干图示,题目图示与结构参考,是,是,4,![[8f937fb19745bdc7a336657997785a44054901819aea41aa3afa2f6c91814235.jpg]],,
真题/第25届初赛/无机和结构化学/题-025-7-3-六方ZnS晶胞框选.md,54,855b731bbbddf8b5c1c500a69726eb06b70ceec50b970bca38e2b921232957df.jpg,题干图示,题目图示与结构参考,是,是,4,![[855b731bbbddf8b5c1c500a69726eb06b70ceec50b970bca38e2b921232957df.jpg]],,
真题/第25届初赛/无机和结构化学/题-025-7-4-金刚石结构基元.md,45,94ac035d4be620acf64d716d571db1184abdebd8e456898b17f7dc03b0c8ece4.jpg,题干图示,题目图示与结构参考,是,是,4,![[94ac035d4be620acf64d716d571db1184abdebd8e456898b17f7dc03b0c8ece4.jpg]],,
真题/第25届初赛/无机和结构化学/题-025-7-4-金刚石结构基元.md,47,f62d8450f931d0cccaf13003aef328057f462ef68269760165e60c464c8975f1.jpg,题干图示,题目图示与结构参考,是,是,4,![[f62d8450f931d0cccaf13003aef328057f462ef68269760165e60c464c8975f1.jpg]],✅保留图示,晶体结构示意图，可能表示石墨或类似层状结构的六边形网格排布，所有原子以黑球表示。
真题/第25届初赛/无机和结构化学/题-025-7-4-金刚石结构基元.md,49,c62bed1f1c644275d18f18fc53c4abdf893a2c7060f22400c60970b5e1dc1968.jpg,题干图示,题目图示与结构参考,是,是,4,![[c62bed1f1c644275d18f18fc53c4abdf893a2c7060f22400c60970b5e1dc1968.jpg]],✅保留图示,三维层状晶体结构模型图，展示了原子组成的六元环及其层间的堆积方式
真题/第25届初赛/无机和结构化学/题-025-7-4-金刚石结构基元.md,51,1938f87046d5c2efb3809a1f4be6872a1b5f80a393f63584463c6a59f3ea0dec.jpg,题干图示,题目图示与结构参考,是,是,4,![[1938f87046d5c2efb3809a1f4be6872a1b5f80a393f63584463c6a59f3ea0dec.jpg]],✅保留图示,这是一个ZnS（闪锌矿结构）的晶胞结构示意图。图中有空心小圆代表Zn原子，空心大圆代表S原子，展示了它们在晶格中的三维空间排列情况，并带有图例说明。
真题/第25届初赛/无机和结构化学/题-025-7-4-金刚石结构基元.md,53,c29db43a837a1956096b05dcd08a238403c431db01dc7f286c35f53aa47f4125.jpg,题干图示,题目图示与结构参考,是,是,4,![[c29db43a837a1956096b05dcd08a238403c431db01dc7f286c35f53aa47f4125.jpg]],✅保留图示,晶胞的立体结构模型图，展示了原子的四面体配位和三维空间排布方式
真题/第25届初赛/无机和结构化学/题-025-7-4-金刚石结构基元.md,55,f6f37f3513bbaf90fb72185592fce2822ad68f7782bf6e2ec4ea203b31ce1b32.jpg,题干图示,题目图示与结构参考,是,是,4,![[f6f37f3513bbaf90fb72185592fce2822ad68f7782bf6e2ec4ea203b31ce1b32.jpg]],✅保留图示,晶体结构示意图，包含黑球表示的六边形层状网格以及下层的白球，展示多层排布。
真题/第25届初赛/无机和结构化学/题-025-7-4-金刚石结构基元.md,57,8f937fb19745bdc7a336657997785a44054901819aea41aa3afa2f6c91814235.jpg,题干图示,题目图示与结构参考,是,是,4,![[8f937fb19745bdc7a336657997785a44054901819aea41aa3afa2f6c91814235.jpg]],,
真题/第25届初赛/无机和结构化学/题-025-7-4-金刚石结构基元.md,59,855b731bbbddf8b5c1c500a69726eb06b70ceec50b970bca38e2b921232957df.jpg,题干图示,题目图示与结构参考,是,是,4,![[855b731bbbddf8b5c1c500a69726eb06b70ceec50b970bca38e2b921232957df.jpg]],,
真题/第25届初赛/有机化学/题-025-10-1-Vilsmeier试剂共振式.md,44,7c15969c41ab47f5a27235bcc1049bf8e684eaad1ae5f6109e1bd460b9b08118.jpg,题干图示,题目图示与结构参考,是,是,3,![[7c15969c41ab47f5a27235bcc1049bf8e684eaad1ae5f6109e1bd460b9b08118.jpg]],,
真题/第25届初赛/有机化学/题-025-10-1-Vilsmeier试剂共振式.md,46,a7007ea4cfec7fc28d4ec1020134e3211754b221220c904cadbd60d818610a94.jpg,题干图示,题目图示与结构参考,是,是,3,![[a7007ea4cfec7fc28d4ec1020134e3211754b221220c904cadbd60d818610a94.jpg]],✅保留图示,芳香族亲电取代反应（Vilsmeier-Haack反应）图，展示了苯甲醚与Vilsmeier试剂反应及水解生成对甲氧基苯甲醛的过程
真题/第25届初赛/有机化学/题-025-10-1-Vilsmeier试剂共振式.md,48,daad9101d443a59fddc993be66341ff819098b13fb69f252d5f94305eb968eee.jpg,题干图示,题目图示与结构参考,是,是,3,![[daad9101d443a59fddc993be66341ff819098b13fb69f252d5f94305eb968eee.jpg]],✅保留图示,苯甲醚经过一系列带有(1)至(5)编号步骤的反应路线图，中间产物用空方框表示，最终生成对甲氧基苯甲醛。
真题/第25届初赛/有机化学/题-025-10-1-Vilsmeier试剂共振式.md,50,b6990c246f45a1b72e9892d419433a015e96d47fa2be0fc96535bab85b2127ef.jpg,题干图示,题目图示与结构参考,是,是,3,![[b6990c246f45a1b72e9892d419433a015e96d47fa2be0fc96535bab85b2127ef.jpg]],✅保留图示,含有未知产物方框的多步合成反应图（Bischler-Napieralski反应），展示了芳胺衍生物与甲酸乙酯及POCl3的反应
真题/第25届初赛/有机化学/题-025-10-1-Vilsmeier试剂共振式.md,52,b379b82b39df262bb15608af80003a833635cef8084a209254fed966d7ebabd4.jpg,题干图示,题目图示与结构参考,是,是,3,![[b379b82b39df262bb15608af80003a833635cef8084a209254fed966d7ebabd4.jpg]],✅保留图示,Vilsmeier-Haack试剂（亚胺正离子）的共振结构图，包含电子转移箭头及不同共振式之间的转换
真题/第25届初赛/有机化学/题-025-10-1-Vilsmeier试剂共振式.md,54,e359e3d72559f07e0d0c0c9f2640e25e9a9a8b21efab8b3e2c713c658adbb5ba.jpg,题干图示,题目图示与结构参考,是,是,3,![[e359e3d72559f07e0d0c0c9f2640e25e9a9a8b21efab8b3e2c713c658adbb5ba.jpg]],✅保留图示,含有芳香环(苯甲醚衍生物)与亚胺正离子的反应机理过程，展示了电子转移箭头和中间体结构。
